id|http://www.okkam.org/ontology_restaurant2.owl#name|http://www.okkam.org/ontology_restaurant2.owl#phone_number|http://www.okkam.org/ontology_restaurant2.owl#street|aggregate value
623|||2637 peachtree rd. ne|2637 peachtree rd. ne
624|american|||american
625|asian|||asian
626|||937 broadway at 22nd st.|937 broadway at 22nd st.
627|adrienne|212/903-3918||adrienne 212/903-3918
628|italian|||italian
629|||1300 battery st.|1300 battery st.
630|chez michel|415-775-7036||chez michel 415-775-7036
631|||151 hudson st.|151 hudson st.
632|||340 stockton st.|340 stockton st.
633|andre's french restaurant|702-385-5016||andre's french restaurant 702-385-5016
634|||948 1st ave.  between 52nd and 53rd sts.|948 1st ave.  between 52nd and 53rd sts.
635|little szechuan|770/451-0192||little szechuan 770/451-0192
636|ben benson's|212/581-8888||ben benson's 212/581-8888
637|italian|||italian
638|hamburgers|||hamburgers
639|||1265 battery st.|1265 battery st.
640|american|||american
641|le central|415/391-2233||le central 415/391-2233
642|||157 duane st.  between w. broadway and hudson st.|157 duane st.  between w. broadway and hudson st.
643|piero's restaurant|702-369-2305||piero's restaurant 702-369-2305
644|||park place  across from perimeter mall  dunwoody|park place  across from perimeter mall  dunwoody
645|sato sushi and thai|770/449-0033||sato sushi and thai 770/449-0033
646|||3525 mall blvd.|3525 mall blvd.
647|coffee shops|||coffee shops
648|rainbow restaurant|404-633-3538||rainbow restaurant 404-633-3538
649|||ghirardelli sq.|ghirardelli sq.
650|coffee shops/diners|||coffee shops/diners
651|||87 1st ave.  between 5th and 6th sts.|87 1st ave.  between 5th and 6th sts.
652|frico bar|212/564-7272||frico bar 212/564-7272
653|bistro|702/791-7111||bistro 702/791-7111
654|french|||french
655|||764 marietta st. nw|764 marietta st. nw
656|caffe greco|415-397-6261||caffe greco 415-397-6261
657|american|||american
658|mexican|||mexican
659|||208 e. 58th st.  between 2nd and 3rd aves.|208 e. 58th st.  between 2nd and 3rd aves.
660|mediterranean|||mediterranean
661|hudson river club|212/786-1500||hudson river club 212/786-1500
662|||1136 westwood blvd.|1136 westwood blvd.
663|french|||french
664|||3221 mission st.|3221 mission st.
665|la taqueria|415-285-7117||la taqueria 415-285-7117
666|||430 lafayette st.  between 4th st. and astor pl.|430 lafayette st.  between 4th st. and astor pl.
667|asian|||asian
668|l'absinthe|212/794-4950||l'absinthe 212/794-4950
669|||4663 long beach blvd.|4663 long beach blvd.
670|french|||french
671|langer's|213-483-8050||langer's 213-483-8050
672|||551 5th ave. at 45th st.|551 5th ave. at 45th st.
673|trio cafe|415-563-2248||trio cafe 415-563-2248
674|||13329 washington blvd.|13329 washington blvd.
675|italian|||italian
676|continental|||continental
677|parkway grill|818-795-1001||parkway grill 818-795-1001
678|||250 park ave. s at 20th st.|250 park ave. s at 20th st.
679|post house|212/935-2888||post house 212/935-2888
680|rumpus|415/421-2300||rumpus 415/421-2300
681|coffee bar|||coffee bar
682|american (new)|||american (new)
683|||2901 pico blvd.|2901 pico blvd.
684|fast food|||fast food
685|georgia grille|404-352-3517||georgia grille 404-352-3517
686|taiko|310-207-7782||taiko 310-207-7782
687|||126 e. 7th st.  between 1st ave. and ave. a|126 e. 7th st.  between 1st ave. and ave. a
688|sarabeth's kitchen|212/496-6280||sarabeth's kitchen 212/496-6280
689|||405 atlantic ave.|405 atlantic ave.
690|||1 margaret mitchell sq.|1 margaret mitchell sq.
691|american|||american
692|||60 n. venice blvd.|60 n. venice blvd.
693|californian|||californian
694|alain rondelli|415-387-0408||alain rondelli 415-387-0408
695|||57 w. 48th st.|57 w. 48th st.
696|tapika|212/ 397-3737||tapika 212/ 397-3737
697|||38 e. 51st st.|38 e. 51st st.
698|||41 14th st.|41 14th st.
699|westside cottage|212-245-0800||westside cottage 212-245-0800
700|mediterranean|||mediterranean
701|||200-250 vesey st. world financial center|200-250 vesey st. world financial center
702|american|||american
703|arizona|212/838-0440||arizona 212/838-0440
704|southern/soul|||southern/soul
705|||12969 ventura blvd.|12969 ventura blvd.
706|||545 post st.|545 post st.
707|mifune|415-922-0337||mifune 415-922-0337
708|||401 s. 6th st.|401 s. 6th st.
709|cuban|||cuban
710|michael's (las vegas)|702-737-7111||michael's (las vegas) 702-737-7111
711|||c buford hwy.  northwoods plaza  doraville|c buford hwy.  northwoods plaza  doraville
712|pleasant peasant|404/874-3223||pleasant peasant 404/874-3223
713|asian|||asian
714|southern/soul|||southern/soul
715|bruno|212/688-4190||bruno 212/688-4190
716|||103 waverly pl.  near washington sq.|103 waverly pl.  near washington sq.
717|italian|||italian
718|||453 bush st.|453 bush st.
719|buffets|||buffets
720|||355 convention center dr.|355 convention center dr.
721|pizza|||pizza
722|baker's cajun cafe|404-223-5039||baker's cajun cafe 404-223-5039
723|||6050 peachtree pkwy.  norcross|6050 peachtree pkwy.  norcross
724|bally's big kitchen|702/739-4111||bally's big kitchen 702/739-4111
725|||2118 n. decatur rd.|2118 n. decatur rd.
726|italian|||italian
727|american|||american
728|||402 w. 43rd st.  off 9th ave.|402 w. 43rd st.  off 9th ave.
729|french|||french
730|||3400 las vegas blvd. s|3400 las vegas blvd. s
731|circus circus|702/734-0410||circus circus 702/734-0410
732|||423 columbus ave.|423 columbus ave.
733|eric's chinese restaurant|415-282-0919||eric's chinese restaurant 415-282-0919
734|mexican/latin american/spanish|||mexican/latin american/spanish
735|||4 world financial center|4 world financial center
736|french|||french
737|fenix at the argyle|213-848-6677||fenix at the argyle 213-848-6677
738|jean lafitte|212/751-2323||jean lafitte 212/751-2323
739|||2889 mission st.|2889 mission st.
740|san francisco bbq|415-431-8956||san francisco bbq 415-431-8956
741|greek and middle eastern|||greek and middle eastern
742|||227 e. 67th st.|227 e. 67th st.
743|coffee bar|||coffee bar
744|le chantilly|212/751-2931||le chantilly 212/751-2931
745|||704 s. alvarado st.|704 s. alvarado st.
746|french|||french
747|||1870 fillmore st.|1870 fillmore st.
748|pane e vino|415/346-2111||pane e vino 415/346-2111
749|american|||american
750|main street|212/873-5025||main street 212/873-5025
751|||510 s. arroyo pkwy.|510 s. arroyo pkwy.
752|american (new)|||american (new)
753|russell's burgers|310-596-9556||russell's burgers 310-596-9556
754|||28 e. 63rd st.|28 e. 63rd st.
755|||1 tillman pl.|1 tillman pl.
756|straits cafe|415/668-1783||straits cafe 415/668-1783
757|steakhouses|||steakhouses
758|||11677 san vicente blvd.|11677 san vicente blvd.
759|pacific new wave|||pacific new wave
760|||423 amsterdam ave.  between 80th and 81st sts.|423 amsterdam ave.  between 80th and 81st sts.
761|stage deli|212/245-7850||stage deli 212/245-7850
762|italian|||italian
763|asian|||asian
764|hot dogs|||hot dogs
765|||8638 w. third st.|8638 w. third st.
766|||2316 polk st.|2316 polk st.
767|||950 8th ave. at 56th st.|950 8th ave. at 56th st.
768|asian|||asian
769|trois jean|212/988-4858||trois jean 212/988-4858
770|hawthorne lane|415-777-9779||hawthorne lane 415-777-9779
771|||689 ninth ave.|689 ninth ave.
772|seafood|||seafood
773|cafe des artistes|212-877-3500||cafe des artistes 212-877-3500
774|continental|||continental
775|||1393a 2nd ave.  between 72nd and 73rd sts.|1393a 2nd ave.  between 72nd and 73rd sts.
776|boca chica|212/473-0108||boca chica 212/473-0108
777|californian|||californian
778|||201 w. 83rd st.|201 w. 83rd st.
779|zoe|212/966-6722||zoe 212/966-6722
780|asian|||asian
781|bistro garden|310/550-3900||bistro garden 310/550-3900
782|||3rd st. promenade|3rd st. promenade
783|||3595 las vegas blvd. s.|3595 las vegas blvd. s.
784|american|||american
785|stefano's|702-385-7111||stefano's 702-385-7111
786|||555 peachtree st.  at linden ave.|555 peachtree st.  at linden ave.
787|american|||american
788|||33 w. 55th st.|33 w. 55th st.
789|||1134 euclid ave.|1134 euclid ave.
790|dive!|310/788-||dive! 310/788-
791|asian|||asian
792|carey's|770-422-8042||carey's 770-422-8042
793|||3645 las vegas blvd. s|3645 las vegas blvd. s
794|cafe michelle|702/735-8686||cafe michelle 702/735-8686
795|asian|||asian
796|italian|||italian
797|bel-air hotel|310-472-1211||bel-air hotel 310-472-1211
798|chinese|||chinese
799|java jive|404-876-6161||java jive 404-876-6161
800|||2880 las vegas blvd. s|2880 las vegas blvd. s
801|mary's diner|702/454-8073||mary's diner 702/454-8073
802|||1500 church st.|1500 church st.
803|vegetarian|||vegetarian
804|||68 w. 58th st.|68 w. 58th st.
805|italian|||italian
806|l'udo|212/388-0978||l'udo 212/388-0978
807|bix|415/433-6300||bix 415/433-6300
808|||1328 18th st.|1328 18th st.
809|cafe fes|212/924-7653||cafe fes 212/924-7653
810|wa-ha-ka oaxaca mexican grill|415-775-1055||wa-ha-ka oaxaca mexican grill 415-775-1055
811||||
812|||106 e. 57th st.|106 e. 57th st.
813|american|||american
814|les halles|212/679-4111||les halles 212/679-4111
815|southwestern|||southwestern
816|chiam|212/371-2323||chiam 212/371-2323
817|||3011 steiner st.|3011 steiner st.
818|japanese|||japanese
819|south park cafe|415/495-7275||south park cafe 415/495-7275
820|||446 columbus ave.  between 81st and 82nd sts.|446 columbus ave.  between 81st and 82nd sts.
821|italian|||italian
822|||1198 pch|1198 pch
823|delis|||delis
824|||9560 dayton way|9560 dayton way
825|diners|||diners
826|||3300 geary blvd.|3300 geary blvd.
827|vivande ristorante|415/673-9245||vivande ristorante 415/673-9245
828|american (new)|||american (new)
829|cajun/creole|||cajun/creole
830|||834 7th ave.  between 53rd and 54th sts.|834 7th ave.  between 53rd and 54th sts.
831|asian|||asian
832|the coffee pot|212/265-3566||the coffee pot 212/265-3566
833|benita's frites|310-458-2889||benita's frites 310-458-2889
834|yujean kang's|818-585-0855||yujean kang's 818-585-0855
835|american (new)|||american (new)
836|chicken|||chicken
837|||3115 pico blvd.|3115 pico blvd.
838|||154 e. 79th st.  between lexington and 3rd aves.|154 e. 79th st.  between lexington and 3rd aves.
839|coffee bar|||coffee bar
840|ritz-carlton dining room (san francisco)|415-296-7465||ritz-carlton dining room (san francisco) 415-296-7465
841|vong|212/486-9592||vong 212/486-9592
842|||2930 beverly glen circle|2930 beverly glen circle
843|french bistro|||french bistro
844|gotham bar & grill|212-620-4020||gotham bar & grill 212-620-4020
845|||99 e. 52nd st.|99 e. 52nd st.
846|||129 fremont st.|129 fremont st.
847|||90 prince st.  between broadway and mercer st.|90 prince st.  between broadway and mercer st.
848|middle eastern|||middle eastern
849|||310 n. larchmont blvd.|310 n. larchmont blvd.
850|bistango|404/724-0901||bistango 404/724-0901
851|cava|213/658-8898||cava 213/658-8898
852|japanese|||japanese
853|bobby & june's kountry kitchen|404-876-3872||bobby & june's kountry kitchen 404-876-3872
854|mi cocina|212-627-8273||mi cocina 212-627-8273
855|continental|||continental
856|||102 fifth ave.|102 fifth ave.
857|cafe con leche|212-595-7000||cafe con leche 212-595-7000
858|||1021 cobb pkwy. se|1021 cobb pkwy. se
859|||2020 ave. of the stars|2020 ave. of the stars
860|hsu's gourmet|404/659-2788||hsu's gourmet 404/659-2788
861|gladstone's|310/454-3474||gladstone's 310/454-3474
862|steakhouses|||steakhouses
863|greenwood's|770-992-5383||greenwood's 770-992-5383
864|||1350 e. flamingo rd.|1350 e. flamingo rd.
865|golden nugget hotel|702/385-7111||golden nugget hotel 702/385-7111
866|mediterranean|||mediterranean
867|john's pizzeria|212-721-7001||john's pizzeria 212-721-7001
868|nate 'n' al's|310/274-0101||nate 'n' al's 310/274-0101
869|||790 ponce de leon ave.|790 ponce de leon ave.
870|polish|||polish
871|||5111 w. boulder hwy.|5111 w. boulder hwy.
872|2223|415/431-0692||2223 415/431-0692
873|coffee bar|||coffee bar
874|cafe botanica|212/484-5120||cafe botanica 212/484-5120
875|italian|||italian
876|||432 lafayette st.  near astor pl.|432 lafayette st.  near astor pl.
877|||56 gold st.|56 gold st.
878|southern|||southern
879|||246 w. 4th st. at charles st.|246 w. 4th st. at charles st.
880|chevys|415/543-8060||chevys 415/543-8060
881|||2141 polk st.|2141 polk st.
882|spanish|||spanish
883|capsouto freres|212/966-4900||capsouto freres 212/966-4900
884|greek and middle eastern|||greek and middle eastern
885|||411 park ave. s  between 28th and 29th sts.|411 park ave. s  between 28th and 29th sts.
886|american|||american
887|||160 e. 48th st.|160 e. 48th st.
888|helmand|415/362-0641||helmand 415/362-0641
889|||624 s. la brea ave.|624 s. la brea ave.
890|japanese|||japanese
891|dean & deluca|212/254-8776||dean & deluca 212/254-8776
892|||108 south park|108 south park
893|the heights|415/474-8890||the heights 415/474-8890
894|seafood|||seafood
895|diners|||diners
896|fifty seven fifty seven|212/758-5757||fifty seven fifty seven 212/758-5757
897|||670 golden gate ave.|670 golden gate ave.
898|french (new)|||french (new)
899|latin american|||latin american
900|delis|||delis
901|||350 9th ave. at 49th st.|350 9th ave. at 49th st.
902|||1433 third st. promenade|1433 third st. promenade
903|cafe blanc|310-888-0108||cafe blanc 310-888-0108
904|chanterelle|212-966-6960||chanterelle 212-966-6960
905|french (classic)|||french (classic)
906|californian|||californian
907|american|||american
908|||200 e. 54th st.|200 e. 54th st.
909|italian|||italian
910|annie's thai castle|404/264-9546||annie's thai castle 404/264-9546
911|||700 w. fifth st.|700 w. fifth st.
912|italian|||italian
913|jody maroni's sausage kingdom|310-306-1995||jody maroni's sausage kingdom 310-306-1995
914|lespinasse (new york city)|212-339-6719||lespinasse (new york city) 212-339-6719
915|mavalli palace|212/679-5535||mavalli palace 212/679-5535
916|japanese|||japanese
917|||155 w. 58th st.|155 w. 58th st.
918|water grill|213-891-0900||water grill 213-891-0900
919|||375 14th st.|375 14th st.
920|||1100 peachtree st.|1100 peachtree st.
921|asian|||asian
922|||134 n. la cienega|134 n. la cienega
923|dante's down the hatch|404/577-1800||dante's down the hatch 404/577-1800
924|dynasty room|310/208-8765||dynasty room 310/208-8765
925|river cafe|718-522-5200||river cafe 718-522-5200
926|||424 amsterdam ave.|424 amsterdam ave.
927|pacifica|212/941-4168||pacifica 212/941-4168
928|american|||american
929|||30 rockefeller plaza|30 rockefeller plaza
930|good enough to eat|212-496-0163||good enough to eat 212-496-0163
931|||192 peachtree center ave.  at international blvd.|192 peachtree center ave.  at international blvd.
932|american|||american
933|||4500 los feliz blvd.|4500 los feliz blvd.
934|le colonial|310/289-0660||le colonial 310/289-0660
935|||1087 green st.|1087 green st.
936|bbq|||bbq
937|||129 e. fremont st.|129 e. fremont st.
938|le montrachet bistro|702-732-5651||le montrachet bistro 702-732-5651
939|italian|||italian
940|||48 w. 65th st.|48 w. 65th st.
941|||3799 las vegas blvd. s.|3799 las vegas blvd. s.
942|marnie's noodle shop|212-741-3214||marnie's noodle shop 212-741-3214
943|mexican|||mexican
944|prego|310/277-7346||prego 310/277-7346
945|||3rd st. promenade|3rd st. promenade
946|american (new)|||american (new)
947|||2223 market st.|2223 market st.
948|italian|||italian
949|cafe adriano|415/474-4180||cafe adriano 415/474-4180
950|||160 central park s|160 central park s
951|american|||american
952|sam's noodle shop|212-213-2288||sam's noodle shop 212-213-2288
953|italian|||italian
954|italian|||italian
955|||4th and howard sts.|4th and howard sts.
956|asian|||asian
957|greens|415/771-6222||greens 415/771-6222
958|||451 washington st.  near watts st.|451 washington st.  near watts st.
959|coco pazzo|212/794-0205||coco pazzo 212/794-0205
960|coffee bar|||coffee bar
961|||430 broadway|430 broadway
962|coffee shops/diners|||coffee shops/diners
963|katia's|415/668-9292||katia's 415/668-9292
964|||121 prince st.|121 prince st.
965|californian|||californian
966|ernie's|212/496-1588||ernie's 212/496-1588
967|||3235 sacramento st.|3235 sacramento st.
968|american|||american
969|nava|404-240-1984||nava 404-240-1984
970|palm  the (los angeles)|310-550-8811||palm  the (los angeles) 310-550-8811
971|||57 e. 57th st.|57 e. 57th st.
972|mediterranean|||mediterranean
973|follonico|212/691-6359||follonico 212/691-6359
974|brent's deli|818-886-5679||brent's deli 818-886-5679
975|american|||american
976|french bistro|||french bistro
977|white house restaurant|404-237-7601||white house restaurant 404-237-7601
978|mexican/tex-mex|||mexican/tex-mex
979|french|||french
980|||9777 little santa monica blvd.|9777 little santa monica blvd.
981|russian|||russian
982|gumbo pot  the|213-933-0358||gumbo pot  the 213-933-0358
983|italian|||italian
984|manila garden|212/777-6314||manila garden 212/777-6314
985|diners|||diners
986|||3195 roswell rd.|3195 roswell rd.
987|american|||american
988|american|||american
989|||2011 ocean front walk|2011 ocean front walk
990|park avenue cafe (new york city)|212-644-1900||park avenue cafe (new york city) 212-644-1900
991|koo koo roo|213-655-9045||koo koo roo 213-655-9045
992|american (new)|||american (new)
993|||46 e. 29th st.|46 e. 29th st.
994|newsbar|212/255-3996||newsbar 212/255-3996
995|||544 s. grand ave.|544 s. grand ave.
996|desserts|||desserts
997|||55 e. 54th st.|55 e. 54th st.
998|||underground underground mall  underground atlanta|underground underground mall  underground atlanta
999|coffee bar|||coffee bar
1000|||439 n. beverly drive|439 n. beverly drive
1001|uncle nick's|212-245-7992||uncle nick's 212-245-7992
1002|american (new)|||american (new)
1003|||138 lafayette st.  between canal and howard sts.|138 lafayette st.  between canal and howard sts.
1004|persepolis|212/535-1100||persepolis 212/535-1100
1005|||483 amsterdam ave.|483 amsterdam ave.
1006|kuruma zushi|212-317-2802||kuruma zushi 212-317-2802
1007|||central park west|central park west
1008|asian|||asian
1009|ukrainian|||ukrainian
1010|orleans|310/479-4187||orleans 310/479-4187
1011|||10001 riverside dr.|10001 riverside dr.
1012|thai|||thai
1013|brasserie le coze|404-266-1440||brasserie le coze 404-266-1440
1014|mediterranean|||mediterranean
1015|||466 hudson st.|466 hudson st.
1016|palm|212-687-2953||palm 212-687-2953
1017|||3130 piedmont rd. ne|3130 piedmont rd. ne
1018|coffee bar|||coffee bar
1019|mexican|||mexican
1020|||7313 melrose ave.|7313 melrose ave.
1021|tavola calda|213/658-6340||tavola calda 213/658-6340
1022|chinese|||chinese
1023|||3347 fillmore st.|3347 fillmore st.
1024|continental|||continental
1025|||411 third ave.|411 third ave.
1026|teresa's|718-520-2910||teresa's 718-520-2910
1027|||3434 peachtree rd. ne|3434 peachtree rd. ne
1028|italian|||italian
1029|alley's end|212/627-8899||alley's end 212/627-8899
1030|sandwiches|||sandwiches
1031|||bldg. a fort mason|bldg. a fort mason
1032|italian|||italian
1033|hyde street bistro|415/441-7778||hyde street bistro 415/441-7778
1034|||23 e. 74th st.|23 e. 74th st.
1035|mckinnon's louisiane|404/237-1313||mckinnon's louisiane 404/237-1313
1036|southern/soul|||southern/soul
1037|la fonda latina|404-303-8201||la fonda latina 404-303-8201
1038|||600 5th ave.|600 5th ave.
1039|american|||american
1040|katsu|213-665-1891||katsu 213-665-1891
1041|maykadeh|415/362-8286||maykadeh 415/362-8286
1042|||2150 broadway  between 75th and 76th sts.|2150 broadway  between 75th and 76th sts.
1043|vietnamese|||vietnamese
1044|firehouse|212/595-3139||firehouse 212/595-3139
1045|latin american|||latin american
1046|||3060 peachtree rd.|3060 peachtree rd.
1047|soto|404-233-2005||soto 404-233-2005
1048|only in las vegas|||only in las vegas
1049|||6 w. 24th st.|6 w. 24th st.
1050|american|||american
1051|gianni's|212/608-7300||gianni's 212/608-7300
1052|||19565 parthenia ave.|19565 parthenia ave.
1053|middle eastern|||middle eastern
1054|||3172 peachtree rd. ne|3172 peachtree rd. ne
1055|dottie's true blue cafe|415-885-2767||dottie's true blue cafe 415-885-2767
1056|coffee bar|||coffee bar
1057|inca grill|212/966-3371||inca grill 212/966-3371
1058|||6333 w. third st.|6333 w. third st.
1059|italian|||italian
1060|johnnie's pastrami|310-397-6654||johnnie's pastrami 310-397-6654
1061|chinese|||chinese
1062|||325 e. 14th st.  between 1st and 2nd aves.|325 e. 14th st.  between 1st and 2nd aves.
1063|seafood|||seafood
1064|diners|||diners
1065|||8393 w. beverly blvd.|8393 w. beverly blvd.
1066|greek and middle eastern|||greek and middle eastern
1067|steakhouses|||steakhouses
1068|martha's|310-376-7786||martha's 310-376-7786
1069|||2 w. 19th st.|2 w. 19th st.
1070|parioli romanissimo|212/288-2391||parioli romanissimo 212/288-2391
1071|american|||american
1072|southern/soul|||southern/soul
1073|greek and middle eastern|||greek and middle eastern
1074|steak house  the|702-734-0410||steak house  the 702-734-0410
1075|r-23|213-687-7178||r-23 213-687-7178
1076|||1423 2nd ave.  between 74th and 75th sts.|1423 2nd ave.  between 74th and 75th sts.
1077|republic|212/627-7172||republic 212/627-7172
1078|||2nd fl.|2nd fl.
1079|||200 e. fremont st.|200 e. fremont st.
1080|american|||american
1081|||3110 main st.|3110 main st.
1082|restaurant horikawa|213/680-9355||restaurant horikawa 213/680-9355
1083|italian|||italian
1084|la grotta|404-231-1368||la grotta 404-231-1368
1085|californian|||californian
1086|sfuzzi|212/873-3700||sfuzzi 212/873-3700
1087|||837 second ave.|837 second ave.
1088|||1397 n. highland ave.|1397 n. highland ave.
1089|stick to your ribs|718-937-3030||stick to your ribs 718-937-3030
1090|and 212/614-9345 asian|||and 212/614-9345 asian
1091|caribbean|||caribbean
1092|||322 e. 14 st.  between 1st and 2nd aves.|322 e. 14 st.  between 1st and 2nd aves.
1093|9 jones street|212/989-1220||9 jones street 212/989-1220
1094|steakhouses|||steakhouses
1095|campton place|415-955-5555||campton place 415-955-5555
1096|||80 montague st.|80 montague st.
1097|||7 claude ln.|7 claude ln.
1098|zarela|212-644-6740||zarela 212-644-6740
1099|||228 8th ave.  between 21st and 22nd sts.|228 8th ave.  between 21st and 22nd sts.
1100|la grotta at ravinia dunwoody rd.|770/395-9925||la grotta at ravinia dunwoody rd. 770/395-9925
1101|american|||american
1102|barbetta|212/246-9171||barbetta 212/246-9171
1103|american (new)|||american (new)
1104|||1521 hyde st.|1521 hyde st.
1105|coffee shops/diners|||coffee shops/diners
1106|l'osteria del forno|415/982-1124||l'osteria del forno 415/982-1124
1107|indian|||indian
1108|nicky blair's|702-792-9900||nicky blair's 702-792-9900
1109|||3209 maple dr.|3209 maple dr.
1110|sa tsu ki|404/325-5285||sa tsu ki 404/325-5285
1111|||4427 roswell rd.|4427 roswell rd.
1112|cafe bianco|212/988-2655||cafe bianco 212/988-2655
1113|indian|||indian
1114|||470 green st.|470 green st.
1115|mexican|||mexican
1116|||522 columbus ave.  between 85th and 86th sts.|522 columbus ave.  between 85th and 86th sts.
1117|french roast cafe|212/799-1533||french roast cafe 212/799-1533
1118|binion's coffee shop|702/382-1600||binion's coffee shop 702/382-1600
1119|||3330 piedmont rd.|3330 piedmont rd.
1120|cafe flore|415-621-8579||cafe flore 415-621-8579
1121|french|||french
1122|pizza|||pizza
1123|||15 fulton st.|15 fulton st.
1124|french|||french
1125|home|212/243-9579||home 212/243-9579
1126|american|||american
1127|||522 jones st.|522 jones st.
1128|la mediterranee|415-431-7210||la mediterranee 415-431-7210
1129|||492 broome st.  near w. broadway|492 broome st.  near w. broadway
1130|french|||french
1131|judson grill|212/582-5252||judson grill 212/582-5252
1132|||4017 s. sepulveda blvd.|4017 s. sepulveda blvd.
1133|italian|||italian
1134|la serenata de garibaldi|213-265-2887||la serenata de garibaldi 213-265-2887
1135|ti couz|415-252-7373||ti couz 415-252-7373
1136|le madri|212/727-8022||le madri 212/727-8022
1137|||22nd street grill 25 22nd|22nd street grill 25 22nd
1138|italian|||italian
1139|southwestern|||southwestern
1140|original pantry bakery|213-627-6879||original pantry bakery 213-627-6879
1141|||24 e. 81st st.|24 e. 81st st.
1142|popover cafe|212/595-8555||popover cafe 212/595-8555
1143|rubicon|415/434-4100||rubicon 415/434-4100
1144|french (new)|||french (new)
1145|||923 e. third st.|923 e. third st.
1146|pacific new wave|||pacific new wave
1147|delectables|404-681-2909||delectables 404-681-2909
1148|sweet lady jane|213-653-7145||sweet lady jane 213-653-7145
1149|||37a union sq. w  between 16th and 17th sts.|37a union sq. w  between 16th and 17th sts.
1150|sant ambroeus|212/570-2211||sant ambroeus 212/570-2211
1151|nuova cucina italian|||nuova cucina italian
1152|american|||american
1153|||1930 north hillhurst ave.|1930 north hillhurst ave.
1154|veni vidi vici|404-875-8424||veni vidi vici 404-875-8424
1155|||58 w. 65th st.|58 w. 65th st.
1156|tang pavillion|212/956-6888||tang pavillion 212/956-6888
1157|||5-16 51st ave.|5-16 51st ave.
1158|||293-b peachtree rd.|293-b peachtree rd.
1159|veselka|212-228-9682||veselka 212-228-9682
1160|italian|||italian
1161|||106 w. houston st.  off thompson st.|106 w. houston st.  off thompson st.
1162|anche vivolo|212/308-0112||anche vivolo 212/308-0112
1163|californian|||californian
1164|||1001 n. alameda st.|1001 n. alameda st.
1165|||3127 fillmore st.|3127 fillmore st.
1166|veniero's pasticceria|212/674-7264||veniero's pasticceria 212/674-7264
1167|masa's|415-989-7154||masa's 415-989-7154
1168|||953 second ave.|953 second ave.
1169|mexican|||mexican
1170|mayflower cuisinier|702-870-8432||mayflower cuisinier 702-870-8432
1171|||holiday inn/crowne plaza at ravinia  dunwoody|holiday inn/crowne plaza at ravinia  dunwoody
1172|tex-mex|||tex-mex
1173|southern|||southern
1174|palisades|404/350-6755||palisades 404/350-6755
1175|brothers bar-b-q|212/727-2775||brothers bar-b-q 212/727-2775
1176|||25 w. 40th st.  between 5th and 6th aves.|25 w. 40th st.  between 5th and 6th aves.
1177|french|||french
1178|||519 columbus ave.|519 columbus ave.
1179|ca'del sol|818/985-4669||ca'del sol 818/985-4669
1180|||3925 paradise rd.|3925 paradise rd.
1181|chinese|||chinese
1182|alon's at the terrace|404-724-0444||alon's at the terrace 404-724-0444
1183|||3043 buford hwy.|3043 buford hwy.
1184|antonio's|702/252-7737||antonio's 702/252-7737
1185|american|||american
1186|steak houses|||steak houses
1187|||2340 broadway at 85th st.|2340 broadway at 85th st.
1188|deacon burton's soulfood restaurant|404-523-1929||deacon burton's soulfood restaurant 404-523-1929
1189|||128 fremont st.|128 fremont st.
1190|center stage plaza hotel|702/386-2512||center stage plaza hotel 702/386-2512
1191|||2298 market st.|2298 market st.
1192|emerald garden restaurant|415-673-1155||emerald garden restaurant 415-673-1155
1193|american|||american
1194|||20 cornelia st.  between bleecker and w. 4th st.|20 cornelia st.  between bleecker and w. 4th st.
1195|italian|||italian
1196|citrus|213-857-0034||citrus 213-857-0034
1197|ipanema|212/730-5848||ipanema 212/730-5848
1198|art's deli|818-762-1221||art's deli 818-762-1221
1199|the bacchanal|702/731-7525||the bacchanal 702/731-7525
1200|||288 noe st.|288 noe st.
1201|sally's cafe & bakery|415-626-6006||sally's cafe & bakery 415-626-6006
1202|seafood|||seafood
1203|||152 w. 52nd st.|152 w. 52nd st.
1204|italian|||italian
1205|layla|212/431-0700||layla 212/431-0700
1206|||1842 e. first|1842 e. first
1207|||3108 16th st.|3108 16th st.
1208|caffe reggio|212/475-9557||caffe reggio 212/475-9557
1209|palio d'asti|415/395-9800||palio d'asti 415/395-9800
1210|||168 w. 18th st.|168 w. 18th st.
1211|french|||french
1212|mad fish|212/787-0202||mad fish 212/787-0202
1213|||875 s. figueroa st. downtown|875 s. figueroa st. downtown
1214|mediterranean|||mediterranean
1215|ruby's (la)|818-796-7829||ruby's (la) 818-796-7829
1216|||551 amsterdam ave.  between 86th and 87th sts.|551 amsterdam ave.  between 86th and 87th sts.
1217|||558 sacramento st.|558 sacramento st.
1218|stoyanof's cafe|415/664-3664||stoyanof's cafe 415/664-3664
1219|seafood|||seafood
1220|||8360 melrose ave.|8360 melrose ave.
1221|american|||american
1222|||1000 madison ave.  between 77th and 78th sts.|1000 madison ave.  between 77th and 78th sts.
1223|spring street natural restaurant & bar|212/966-0290||spring street natural restaurant & bar 212/966-0290
1224|yaya cuisine|415/566-6966||yaya cuisine 415/566-6966
1225|french (classic)|||french (classic)
1226|barbecue|||barbecue
1227|californian|||californian
1228|||8284 melrose ave.|8284 melrose ave.
1229|||5937 geary blvd.|5937 geary blvd.
1230|||65 w. 55th st.|65 w. 55th st.
1231|american|||american
