id|title|starring|writer|editor|aggregate value
8536||Charity Rahmer|(story)||Charity Rahmer (story)
8537||Daniel Michael Blake Day-Lewis|Carlos Soru00EDn Jorge Goldenberg Roberto Scheuer||Daniel Michael Blake Day-Lewis Carlos Soru00EDn Jorge Goldenberg Roberto Scheuer
8538|The Plank|Thomas Frederick Cooper|Eric Sykes||The Plank Thomas Frederick Cooper Eric Sykes
8539|S.O.B.|Richard Mulligan|William Blake Crump||S.O.B. Richard Mulligan William Blake Crump
8540||Dane Cook|Jimmy Kimmel||Dane Cook Jimmy Kimmel
8541||Emily Olivia L. Blunt|Joe Gangemi||Emily Olivia L. Blunt Joe Gangemi
8542||Anita Yuen|Philip Cheng||Anita Yuen Philip Cheng
8543|My Opposition||||My Opposition
8544||James LeGros|Stacy Cochran James Salter (story)||James LeGros Stacy Cochran James Salter (story)
8545|Lionheart|Harrison Page|Jean-Claude Camille Franu00E7ois Van Varenberg||Lionheart Harrison Page Jean-Claude Camille Franu00E7ois Van Varenberg
8546|Black Cat, White Cat|Bajram Severd?an|Gordan Mihi?||Black Cat, White Cat Bajram Severd?an Gordan Mihi?
8547|Tiger Child||||Tiger Child
8548|||Umberto Lenzi||Umberto Lenzi
8549|Hot Summer in Barefoot County|Mike Muscat|||Hot Summer in Barefoot County Mike Muscat
8550|The Devil and Miss Jones|Charles Douville Coburn|Norman Krasna||The Devil and Miss Jones Charles Douville Coburn Norman Krasna
8551||Richard Chamberlain|Mark Mahon||Richard Chamberlain Mark Mahon
8552|Mixed Nuts|Arthur Stanley Jefferson|Jean DuBois||Mixed Nuts Arthur Stanley Jefferson Jean DuBois
8553||Elsa Nilda Gu00F3mez Scapatti|Benito P?rez Gald?s||Elsa Nilda Gu00F3mez Scapatti Benito P?rez Gald?s
8554|A Star Is Born|Laura Augusta Gainor|Robert Carson||A Star Is Born Laura Augusta Gainor Robert Carson
8555|Sixteen Candles|Justin Henry|John Hughes||Sixteen Candles Justin Henry John Hughes
8556|Forest Of The Dead|Brandi Boulet|Brian Singleton||Forest Of The Dead Brandi Boulet Brian Singleton
8557|Bandits|Billy Bob Thornton|Harley Peyton||Bandits Billy Bob Thornton Harley Peyton
8558|If We Only Knew|Henry Brazeale Walthall|George Hennessy||If We Only Knew Henry Brazeale Walthall George Hennessy
8559||Rajnikanth|||Rajnikanth
8560|The Punisher|Will Patton|Jonathan Hensleigh||The Punisher Will Patton Jonathan Hensleigh
8561||Sam Worthington|Dein Perry||Sam Worthington Dein Perry
8562|Night Owls|Anders Randolf|H.M. Walker||Night Owls Anders Randolf H.M. Walker
8563||Bob Dylan|D. A. Pennebaker||Bob Dylan D. A. Pennebaker
8564||Georgina Verbaan|Frank Herrebout Leo van Maaren||Georgina Verbaan Frank Herrebout Leo van Maaren
8565|Return of the Chubby Killer|Justin McKinney  Reuben Rox   Amanda Sonju|||Return of the Chubby Killer Justin McKinney  Reuben Rox   Amanda Sonju
8566|||Marcy Marzuki||Marcy Marzuki
8567||Esperanza Roy|Dunia Ayaso and Fu00E9lix Sabroso||Esperanza Roy Dunia Ayaso and Fu00E9lix Sabroso
8568|Othello|Kenneth Charles Branagh|William Shakespeare||Othello Kenneth Charles Branagh William Shakespeare
8569|BAFTA Award for Best British Film|Justine Kay McCarthy|William Rose (screenwriter)||BAFTA Award for Best British Film Justine Kay McCarthy William Rose (screenwriter)
8570|Ninau2019s Tragedies|Ayelet Zurer|Savi Gavison||Ninau2019s Tragedies Ayelet Zurer Savi Gavison
8571|Leslie Nielsen: Bad Golf Made Easier|Leslie William Nielsen|||Leslie Nielsen: Bad Golf Made Easier Leslie William Nielsen
8572||Charles Durning|Ernst Lubitsch||Charles Durning Ernst Lubitsch
8573|Steptoe and Son|Harry H. Corbett|Alan Simpson (scriptwriter)||Steptoe and Son Harry H. Corbett Alan Simpson (scriptwriter)
8574|Being There|Melvyn Edouard Hesselberg|Jerzy Kosinski||Being There Melvyn Edouard Hesselberg Jerzy Kosinski
8575||Edward Earl Johnson|||Edward Earl Johnson
8576|Facing Windows|Filippo Nigro|Gianni Romoli||Facing Windows Filippo Nigro Gianni Romoli
8577||Paolo Stoppa|||Paolo Stoppa
8578|Eye See You|Dina Meyer|Ron L. Brinkerhoff||Eye See You Dina Meyer Ron L. Brinkerhoff
8579|Cujo|Ed Lauter|Stephen King||Cujo Ed Lauter Stephen King
8580||Richard Anthony Leming|Richard C. Weinman||Richard Anthony Leming Richard C. Weinman
8581||Adrianna Moore|Donald G. Jackson||Adrianna Moore Donald G. Jackson
8582||Faten Ahmed Hamama|Naguib Mahfouz||Faten Ahmed Hamama Naguib Mahfouz
8583||Laura Linney|Richard Kramer||Laura Linney Richard Kramer
8584||Nadine Chandrawinata|Upi Avianto||Nadine Chandrawinata Upi Avianto
8585|Modern Girls|Clayton Rohner|Laurie Craig||Modern Girls Clayton Rohner Laurie Craig
8586||Brandon Bruce Lee|Cindy Cirile||Brandon Bruce Lee Cindy Cirile
8587|Persona|Berit Elisabeth Andersson|Ernst Ingmar Bergman||Persona Berit Elisabeth Andersson Ernst Ingmar Bergman
8588||Juliet Anne Virginia Stevenson|Hans Christian Andersen||Juliet Anne Virginia Stevenson Hans Christian Andersen
8589|Flirting Scholar|Stephen Chow|Vincent Kok||Flirting Scholar Stephen Chow Vincent Kok
8590||The cast of the Jackson film and various fans|Cliff Broadway, Carlene Cordova||The cast of the Jackson film and various fans Cliff Broadway, Carlene Cordova
8591||Vladimir Gribkov|Valentina Brumberg||Vladimir Gribkov Valentina Brumberg
8592||Tane McClure|||Tane McClure
8593||Linda Denise Blair|Harry Spalding||Linda Denise Blair Harry Spalding
8594|Down Periscope|Robert Michael Schneider|Hugh Wilson||Down Periscope Robert Michael Schneider Hugh Wilson
8595||Wolfgang Preiss|Dick Clement||Wolfgang Preiss Dick Clement
8596|The Silver Streak|Charles Starrett|Roger Whately||The Silver Streak Charles Starrett Roger Whately
8597|Poku00E9mon: Jirachi Wish Maker|Amy Birnbaum|Norman J. Grossfeld Hideki Sonoda||Poku00E9mon: Jirachi Wish Maker Amy Birnbaum Norman J. Grossfeld Hideki Sonoda
8598|Pirates|Carmen Luvana|||Pirates Carmen Luvana
8599||Vicco von B?low|Vicco von B?low||Vicco von B?low Vicco von B?low
8600|Conspiracy Theory|Julie Fiona Roberts|Brian Thomas Helgeland||Conspiracy Theory Julie Fiona Roberts Brian Thomas Helgeland
8601||Wanda Perry|||Wanda Perry
8602||Ilya Rivin|Alexander Sokurov||Ilya Rivin Alexander Sokurov
8603||Evelyn Louise Keyes|Milton Holmes (story) Robert Rossen||Evelyn Louise Keyes Milton Holmes (story) Robert Rossen
8604|Nick of Time|Courtney Chase|Patrick Sheane Duncan||Nick of Time Courtney Chase Patrick Sheane Duncan
8605|The Great Ziegfeld|Myrna Adele Williams|William Anthony McGuire||The Great Ziegfeld Myrna Adele Williams William Anthony McGuire
8606||Bernard Hill|Chris Newby||Bernard Hill Chris Newby
8607||Amanda Sawa|Alki David||Amanda Sawa Alki David
8608||Willie D|Greg Carter, Keith Kjornes||Willie D Greg Carter, Keith Kjornes
8609|Atlantic City|Michel Piccoli|John Guare||Atlantic City Michel Piccoli John Guare
8610|China Strike Force|Aaron Kwok Fu-Shing u90EDu5BCCu57CE|||China Strike Force Aaron Kwok Fu-Shing u90EDu5BCCu57CE
8611||Leticia Marcela Bru00E9dice|Juan Pablo Buscarini||Leticia Marcela Bru00E9dice Juan Pablo Buscarini
8612||Saeed Jaffrey|Novel: John Masters Screenplay & Story: Michael Hirst||Saeed Jaffrey Novel: John Masters Screenplay & Story: Michael Hirst
8613|||Tsui Hark||Tsui Hark
8614||Reb Brown|William L. Nagle||Reb Brown William L. Nagle
8615||Victoria Abril|Vicente Aranda Ezguerra||Victoria Abril Vicente Aranda Ezguerra
8616|Slaughterhouse-Five|Valerie Ritchie Perrine|Stephen Geller||Slaughterhouse-Five Valerie Ritchie Perrine Stephen Geller
8617||Frank Adonis|Victor Colicchio||Frank Adonis Victor Colicchio
8618|Finger on the Trigger|Francis Timothy McCown Durgin|Sidney W. Pink||Finger on the Trigger Francis Timothy McCown Durgin Sidney W. Pink
8619|The Pirate|Eugene Curran Kelly|S. N. Behrman||The Pirate Eugene Curran Kelly S. N. Behrman
8620|Surf's Up|James Howard Woods|Don Rhymer||Surf's Up James Howard Woods Don Rhymer
8621|Silent Running|Bruce MacLeish Dern|Michael Cimino||Silent Running Bruce MacLeish Dern Michael Cimino
8622|Business Before Honesty|Oliver Hardy|||Business Before Honesty Oliver Hardy
8623|Roadside Prophets|John Doe|Abbe Wool||Roadside Prophets John Doe Abbe Wool
8624||Shefali Shah|Utpal Dutt||Shefali Shah Utpal Dutt
8625||Akim Tamiroff|Clifford Odets||Akim Tamiroff Clifford Odets
8626|Flowers in the Attic|Kristy Swanson|Jeffrey Bloom||Flowers in the Attic Kristy Swanson Jeffrey Bloom
8627|Serving Sara|Bruce Lorne Campbell|Jay Scherick||Serving Sara Bruce Lorne Campbell Jay Scherick
8628||David Gorcey|Al Martin||David Gorcey Al Martin
8629|7 Women|Sue Lyon|Norah Lofts||7 Women Sue Lyon Norah Lofts
8630|Get Christie Love!|Harry Guardino|Dorothy Uhnak||Get Christie Love! Harry Guardino Dorothy Uhnak
8631||Elmore Rual Torn|Chris Eigeman||Elmore Rual Torn Chris Eigeman
8632|||Jay Longino  James Ryan||Jay Longino  James Ryan
8633|Spoorloos|Gene Bervoets|Tim Krabb?||Spoorloos Gene Bervoets Tim Krabb?
8634||Wayne Allwine|Richard Cray||Wayne Allwine Richard Cray
8635||Jose Ferrer|Stanley Wolpert||Jose Ferrer Stanley Wolpert
8636|Magma: Volcanic Disaster|Xander Berkeley|Rebecca Rian||Magma: Volcanic Disaster Xander Berkeley Rebecca Rian
8637||Rey Charol|Jorge Falc?n||Rey Charol Jorge Falc?n
8638||Herman Walston|||Herman Walston
8639|Swallowtail Butterfly|Ayumi Ito|Shunji Iwai||Swallowtail Butterfly Ayumi Ito Shunji Iwai
8640|Back to Bosnia||Sabina Vajra?a||Back to Bosnia  Sabina Vajra?a
8641||Shatrughan Sinha|||Shatrughan Sinha
8642||Lewis Delaney Offield|Helen Logan||Lewis Delaney Offield Helen Logan
8643|Fun|Leslie Hope|James Bosley||Fun Leslie Hope James Bosley
8644|Mad About Mambo|Keri Lynn Russell|John Forte||Mad About Mambo Keri Lynn Russell John Forte
8645||Alan Wolf Arkin|Henry Barrow Barbara Dana||Alan Wolf Arkin Henry Barrow Barbara Dana
8646|Vivre sa vie: Film en douze tableaux|Hanne Karen Blarke Bayer|Marcel Sacotte||Vivre sa vie: Film en douze tableaux Hanne Karen Blarke Bayer Marcel Sacotte
8647|Ginger in the Morning|Fred Ward|Mark Miller||Ginger in the Morning Fred Ward Mark Miller
8648|Histoires extraordinaires|Lady Jayne Seymour Fonda|Federico Fellini||Histoires extraordinaires Lady Jayne Seymour Fonda Federico Fellini
8649|The Jackals of a Great City|Henry DeWitt Carey II|Harvey Gates||The Jackals of a Great City Henry DeWitt Carey II Harvey Gates
8650||Pamela Suzette Grier|David Sheldon||Pamela Suzette Grier David Sheldon
8651||Bernard Natan, J. H. Forsell, two uncredited actresses and one uncredited actor|Bernard Natan||Bernard Natan, J. H. Forsell, two uncredited actresses and one uncredited actor Bernard Natan
8652||Mumtaz (actress)|B. R. Ishara||Mumtaz (actress) B. R. Ishara
8653|Ed's Next Move|Matthew  Ross|John C. Walsh||Ed's Next Move Matthew  Ross John C. Walsh
8654||Janine Doyon|Jane Beaumont Hall    Richard A. Doyon||Janine Doyon Jane Beaumont Hall    Richard A. Doyon
8655|Get Up!|Taro Yamamoto|Kazuyuki Izutsu||Get Up! Taro Yamamoto Kazuyuki Izutsu
8656||u5289u798Fu69AE)|James Yuen||u5289u798Fu69AE) James Yuen
8657|The Beast with Five Fingers|Georgette Andru00E9 Barry|William Fryer Harvey||The Beast with Five Fingers Georgette Andru00E9 Barry William Fryer Harvey
8658|Sissi - Schicksalsjahre einer Kaiserin|Gustav Knuth|Ernst Marischka||Sissi - Schicksalsjahre einer Kaiserin Gustav Knuth Ernst Marischka
8659||Victor Mature|Richard Maibaum||Victor Mature Richard Maibaum
8660|The Inkwell|Suzzanne Douglass|Trey Ellis Paris Qualles||The Inkwell Suzzanne Douglass Trey Ellis Paris Qualles
8661|The Endurance: Shackleton's Legendary Antarctic Expedition|William John Neeson|Caroline Alexander, Joseph Dorman||The Endurance: Shackleton's Legendary Antarctic Expedition William John Neeson Caroline Alexander, Joseph Dorman
8662|Blackball|Alice Jane Evans|Tim Firth||Blackball Alice Jane Evans Tim Firth
8663||Laurence Kerr Olivier|William Shakespeare||Laurence Kerr Olivier William Shakespeare
8664||Jesse White|Elwood Ullman||Jesse White Elwood Ullman
8665|Tanner on Tanner|Cynthia Ellen Nixon|Garretson Beekman Trudeau||Tanner on Tanner Cynthia Ellen Nixon Garretson Beekman Trudeau
8666|Serial (film)|Spencer Chan|Arthur Hoerl||Serial (film) Spencer Chan Arthur Hoerl
8667|Serial (film)|Grace Cunard|Harold M. Atkinson||Serial (film) Grace Cunard Harold M. Atkinson
8668||Heather Burns|Daniel Handler||Heather Burns Daniel Handler
8669|Smokey and the Bandit II|Burton Leon Reynolds, Jr.|Michael Kane||Smokey and the Bandit II Burton Leon Reynolds, Jr. Michael Kane
8670|The Frogmen|Gary Merrill|Oscar Millard||The Frogmen Gary Merrill Oscar Millard
8671|My Life|Michael John Douglas|Bruce Joel Rubin||My Life Michael John Douglas Bruce Joel Rubin
8672|New Best Friend|Meredith Monroe|Victoria Strouse||New Best Friend Meredith Monroe Victoria Strouse
8673||Lee jong-won|Kim Hyeon-seong||Lee jong-won Kim Hyeon-seong
8674||Keith Ferguson|Alicia Kirk||Keith Ferguson Alicia Kirk
8675||Joseph Vijay Chandrasekhar|||Joseph Vijay Chandrasekhar
8676|The War Widow||Harvey Perr||The War Widow  Harvey Perr
8677||Xu Qinfang|||Xu Qinfang
8678|Angels Revenge|Jacqueline Cole|Alvin L. Fast||Angels Revenge Jacqueline Cole Alvin L. Fast
8679|Eagle Eye|Billy Bob Thorton|Steven Allan Spielberg||Eagle Eye Billy Bob Thorton Steven Allan Spielberg
8680||Winifred J. Reeves|Rex Taylor||Winifred J. Reeves Rex Taylor
8681|Sex, Lies, and Videotape|Rosalie Anderson MacDowell|Steven Andrew Soderbergh||Sex, Lies, and Videotape Rosalie Anderson MacDowell Steven Andrew Soderbergh
8682||Nassar|Ram Gopal Varma||Nassar Ram Gopal Varma
8683||Wimal Kumara De Costa|Herbert Ranjith Peiris||Wimal Kumara De Costa Herbert Ranjith Peiris
8684||Sharmila Tagore|K.B Pathak||Sharmila Tagore K.B Pathak
8685|Hair Trigger Stuff|Hoot Gibson|Philip Hubbard Dorothy Rockfort||Hair Trigger Stuff Hoot Gibson Philip Hubbard Dorothy Rockfort
8686||Brooke Christa Camille Shields|Dennis Hackin||Brooke Christa Camille Shields Dennis Hackin
8687||Catlin Adams|Mary Rodgers||Catlin Adams Mary Rodgers
8688|Straw Dogs|Susan George (actress)|Gordon Williams||Straw Dogs Susan George (actress) Gordon Williams
8689||James Francis Cagney Jr.|Manuel Seff||James Francis Cagney Jr. Manuel Seff
8690|Pukar|Randhir Kapoor|Manish Gupta||Pukar Randhir Kapoor Manish Gupta
8691|Inuyasha the Movie: Swords of an Honorable Ruler|Kappei Yamaguchi|Rumiko Takahashi||Inuyasha the Movie: Swords of an Honorable Ruler Kappei Yamaguchi Rumiko Takahashi
8692|Murder by Death|Margaret Natalie Smith|Neil Simon||Murder by Death Margaret Natalie Smith Neil Simon
8693||Maurice Denham|Martin Kluger||Maurice Denham Martin Kluger
8694||Madhuri Shankar Dixit|Kader Khan||Madhuri Shankar Dixit Kader Khan
8695|Academy Award for Best Foreign Language Film|Fernando Casado D'Arambillet|Jean-Claude Carri?re||Academy Award for Best Foreign Language Film Fernando Casado D'Arambillet Jean-Claude Carri?re
8696||Richard St.  John Harris|Alan Paton||Richard St.  John Harris Alan Paton
8697||Vikramaditya Priyanka Divya Aarthi Karunas|K. Pannerselvam||Vikramaditya Priyanka Divya Aarthi Karunas K. Pannerselvam
8698||Esther Ralston|Zane Grey||Esther Ralston Zane Grey
8699||Eric Marlon Bishop|Eric Marlon Bishop||Eric Marlon Bishop Eric Marlon Bishop
8700|Serial (film)|Dorothy Arnold (Olson)|Willis Cooper||Serial (film) Dorothy Arnold (Olson) Willis Cooper
8701|Party at Kitty and Stud's|Sylvester Gardenzio Stallone|Morton Lewis||Party at Kitty and Stud's Sylvester Gardenzio Stallone Morton Lewis
8702|Raging Bull|Nicholas Colasanto|Paul Schrader||Raging Bull Nicholas Colasanto Paul Schrader
8703|||Seicho Matsumoto||Seicho Matsumoto
8704|Batman Beyond: Return of the Joker|Mark Richard Hamill|Bruce Timm||Batman Beyond: Return of the Joker Mark Richard Hamill Bruce Timm
8705||Felicia Chin Foon Ling|||Felicia Chin Foon Ling
8706||Ulrich Thomsen|Anders Thomas Jensen||Ulrich Thomsen Anders Thomas Jensen
8707||Timothy David Olyphant|||Timothy David Olyphant
8708|The Train|Emraan Hashmi|||The Train Emraan Hashmi
8709||Michel Serrault|Yves Ulmann||Michel Serrault Yves Ulmann
8710|Soldier's Daughter Never Cries|Jesse Bradford Watrouse|Kaylie Jones||Soldier's Daughter Never Cries Jesse Bradford Watrouse Kaylie Jones
8711|Steal This Movie|Jeanne Tripplehorn|Marty Jezer||Steal This Movie Jeanne Tripplehorn Marty Jezer
8712||Dickson Tan|Graham Streeter||Dickson Tan Graham Streeter
8713||Takeshi Kaneshiro|||Takeshi Kaneshiro
8714|Alien Apocalypse|Bruce Lorne Campbell|Josh Becker||Alien Apocalypse Bruce Lorne Campbell Josh Becker
8715|Filmfare Best Movie Award|Alda Sinha|||Filmfare Best Movie Award Alda Sinha
8716||Sanghavi|||Sanghavi
8717||Frank Albertson|||Frank Albertson
8718|Stay|Ewan McGregor|David Benioff||Stay Ewan McGregor David Benioff
8719|Lucky Number Slevin|Krishna Bhanji|Jason Smilovic||Lucky Number Slevin Krishna Bhanji Jason Smilovic
8720||Rajnikanth|||Rajnikanth
8721||Ivo Livi, born of Catholic peasants in Italy|Elisabeth Rappeneau||Ivo Livi, born of Catholic peasants in Italy Elisabeth Rappeneau
8722|A Fool There Was|Edward Jose|Roy L. McCardell||A Fool There Was Edward Jose Roy L. McCardell
8723|Mascot Pictures||||Mascot Pictures
8724||Lil'E|Allen Johnson||Lil'E Allen Johnson
8725||Alexandra Hay|Jacques Demy||Alexandra Hay Jacques Demy
8726|A Better Place|Robert DiPatri|Vincent Pereira||A Better Place Robert DiPatri Vincent Pereira
8727||Akkineni Nagarjuna Rao|Siddique||Akkineni Nagarjuna Rao Siddique
8728|Brewster McCloud|Walter Edward Cox|Doran William Cannon||Brewster McCloud Walter Edward Cox Doran William Cannon
8729|Avvai Shanmugi|Ramesh Khanna|Crazy Mohan||Avvai Shanmugi Ramesh Khanna Crazy Mohan
8730|Clowns Spinning Hats||Lubin Studios||Clowns Spinning Hats  Lubin Studios
8731|Christiane F. - Wir Kinder vom Bahnhof Zoo|David Bowie|Kai Hermann||Christiane F. - Wir Kinder vom Bahnhof Zoo David Bowie Kai Hermann
8732|The Sheriff|Roscoe Arbuckle|Roscoe Arbuckle||The Sheriff Roscoe Arbuckle Roscoe Arbuckle
8733|The Truth About Charlie|Frank Theodore Levine|Peter Stone||The Truth About Charlie Frank Theodore Levine Peter Stone
8734||:fr:Mathieu Boujenah|Laila Marrakchi||:fr:Mathieu Boujenah Laila Marrakchi
8735||Tomer Sisley|Julien Rappeneau||Tomer Sisley Julien Rappeneau
8736||Joan de Beauvoir de Havilland|Douglas Morrow||Joan de Beauvoir de Havilland Douglas Morrow
8737||Ng Choo Seong|Yasmin Ahmad||Ng Choo Seong Yasmin Ahmad
8738||Kang Shin-il|Lee Hyo-cheol||Kang Shin-il Lee Hyo-cheol
8739||Benjamin Soames|Duncan Roy||Benjamin Soames Duncan Roy
8740||Masaya Kato|Yukihiko Tsutsumi||Masaya Kato Yukihiko Tsutsumi
8741||Oleg Menshikov|Valentin Pikul||Oleg Menshikov Valentin Pikul
8742||In?s Pellegrini|Pier Paolo Pasolini||In?s Pellegrini Pier Paolo Pasolini
8743||Ty Cobb|Grantland Rice||Ty Cobb Grantland Rice
8744|Being Human|Ewan McGregor|Bill Forsyth||Being Human Ewan McGregor Bill Forsyth
8745|Soul Survivors|Wes Bentley|Stephen Carpenter||Soul Survivors Wes Bentley Stephen Carpenter
8746|Szamanka|Bogus?aw Linda|Manuela Gretkowska||Szamanka Bogus?aw Linda Manuela Gretkowska
8747|Jarhead|Eric Marlon Bishop|William Broyles Jr.||Jarhead Eric Marlon Bishop William Broyles Jr.
8748|Ghost in the Shell: Innocence|Akio ?tsuka|Mamoru Oshii||Ghost in the Shell: Innocence Akio ?tsuka Mamoru Oshii
8749|||Scott Elwell  Sean Kelley||Scott Elwell  Sean Kelley
8750|||Albert Uderzo||Albert Uderzo
8751||Anna Neagle|Alice Duer Miller||Anna Neagle Alice Duer Miller
8752|Umrao Jaan|Kulbhushan Kharbanda|J.P. Dutta||Umrao Jaan Kulbhushan Kharbanda J.P. Dutta
8753|What's the World Coming To?|Arthur Stanley Jefferson|Hal Yates||What's the World Coming To? Arthur Stanley Jefferson Hal Yates
8754||Dharmendra|||Dharmendra
8755||Sam Shepard|Adam Sussman||Sam Shepard Adam Sussman
8756|No Maps for These Territories|Jack Womack|Mark Neale||No Maps for These Territories Jack Womack Mark Neale
8757|A Marked Man|Henry DeWitt Carey II|John Martin Feeney||A Marked Man Henry DeWitt Carey II John Martin Feeney
8758|The Pleasure Garden|Virginia McSweeney|Novel: Oliver Sandys Screenplay: Eliot Stannard||The Pleasure Garden Virginia McSweeney Novel: Oliver Sandys Screenplay: Eliot Stannard
8759||Sripriya|||Sripriya
8760|The Twelve Chairs|Ronald Moodnick|Ilf and Petrov||The Twelve Chairs Ronald Moodnick Ilf and Petrov
8761||Guillermo D?az|Daisy von Scherler Mayer||Guillermo D?az Daisy von Scherler Mayer
8762|u00C1nimas Trujano||Rogelio Barriga Rivas||u00C1nimas Trujano  Rogelio Barriga Rivas
8763|Real Adventure|Florence Vidor|Mildred Considine Henry Kitchell Webster||Real Adventure Florence Vidor Mildred Considine Henry Kitchell Webster
8764|Premium|Francis Harper|Pete Chatmon||Premium Francis Harper Pete Chatmon
8765||Derek Jules Gaspard Ulric Niven van den Bogarde|Robin Estridge||Derek Jules Gaspard Ulric Niven van den Bogarde Robin Estridge
8766|Fuck||||Fuck
8767|Come Fly with Me|Victoria Dawn Addams|William Roberts||Come Fly with Me Victoria Dawn Addams William Roberts
8768||Beatrice Campbell|J. B. Priestley||Beatrice Campbell J. B. Priestley
8769|Scamper the Penguin (Chiisana penguin Lolo no buken)||Shozo Matsuda||Scamper the Penguin (Chiisana penguin Lolo no buken)  Shozo Matsuda
8770|To Live and Die in L.A..|Robert Dean Stockwell|William Friedkin||To Live and Die in L.A.. Robert Dean Stockwell William Friedkin
8771|Special Delivery|Alfred St. John|||Special Delivery Alfred St. John
8772|Slayers Premium||Junichi Sat?||Slayers Premium  Junichi Sat?
8773|Time Walker|Kevin Brophy|Karen Levitt||Time Walker Kevin Brophy Karen Levitt
8774||Daniel Edward Aykroyd|John Landis||Daniel Edward Aykroyd John Landis
8775||Jan Machulski|Tadeusz Konwicki||Jan Machulski Tadeusz Konwicki
8776||Niniek L. Karim|Nia Di Nata||Niniek L. Karim Nia Di Nata
8777||Carrie Frances Fisher|Leslie Dixon||Carrie Frances Fisher Leslie Dixon
8778||Keith Joseph Michell|Ian Thorne||Keith Joseph Michell Ian Thorne
8779|Sweet Memories|King Baggot|Thomas H. Ince||Sweet Memories King Baggot Thomas H. Ince
8780|Robin and the 7 Hoods|Dean Martin|David R. Schwartz||Robin and the 7 Hoods Dean Martin David R. Schwartz
8781|Blown Away|Corey Scott Feldman|Robert C. Cooper||Blown Away Corey Scott Feldman Robert C. Cooper
8782|Serial (film)||||Serial (film)
8783|The Rocky Horror Picture Show|Laura Elizabeth Campbell|Jim Sharman||The Rocky Horror Picture Show Laura Elizabeth Campbell Jim Sharman
8784||Christopher Sarandon|Brent V. Friedman||Christopher Sarandon Brent V. Friedman
8785||Jerome Lester Horwitz|Felix Adler||Jerome Lester Horwitz Felix Adler
8786|Someone Like You|Hugh Michael Jackman|Laura Zigman||Someone Like You Hugh Michael Jackman Laura Zigman
8787|List of Sundance Film Festival award winners|David Suchet|Jonathan Nossiter||List of Sundance Film Festival award winners David Suchet Jonathan Nossiter
8788||Sophia Kosow|Viu00F1a Delmar||Sophia Kosow Viu00F1a Delmar
8789|Dead Again|Richard Easton|Scott Frank||Dead Again Richard Easton Scott Frank
8790|Il Vangelo secondo Matteo|Enrique Irazoqui|Pier Paolo Pasolini||Il Vangelo secondo Matteo Enrique Irazoqui Pier Paolo Pasolini
8791||[]]|||[]]
8792||Bhavana (actress)|S. Rajkumar||Bhavana (actress) S. Rajkumar
8793|The Sea Nymphs|Roscoe Arbuckle|||The Sea Nymphs Roscoe Arbuckle
8794|Filmfare Best Movie Award|Madhuri Shankar Dixit|Yash Chopra||Filmfare Best Movie Award Madhuri Shankar Dixit Yash Chopra
8795||Antony Carbone|Robert Towne||Antony Carbone Robert Towne
8796|Dr. Goldfoot and the Bikini Machine|Susan Hart|Elwood Ullman||Dr. Goldfoot and the Bikini Machine Susan Hart Elwood Ullman
8797||Ingvar E. Sigurdsson|Andrew Rai Berzins||Ingvar E. Sigurdsson Andrew Rai Berzins
8798|The Spider's Stratagem|Giulio Brogi|Edoardo De Gregorio||The Spider's Stratagem Giulio Brogi Edoardo De Gregorio
8799||Elvis Presley|Nedrick Young||Elvis Presley Nedrick Young
8800|Dreamy Knights|Oliver Hardy|||Dreamy Knights Oliver Hardy
8801|Camping Cosmos|Arno Hintjens|Jan Bucquoy||Camping Cosmos Arno Hintjens Jan Bucquoy
8802||Mary Ann Emerson|Bill Hall||Mary Ann Emerson Bill Hall
8803|Great While It Lasted|Harold Lloyd|||Great While It Lasted Harold Lloyd
8804|Serial (film)||||Serial (film)
8805||Sheri Lyn Skurkis|Story: Rob Zombie Screenplay: Mr. Lawrence Tom Papa||Sheri Lyn Skurkis Story: Rob Zombie Screenplay: Mr. Lawrence Tom Papa
8806||Arsin?e Khanjian|Atom Yeghoyan||Arsin?e Khanjian Atom Yeghoyan
8807||see below|Neil Bligh||see below Neil Bligh
8808||Sandrine Holt|Donald Martin Daniu00E8le J. Suissa||Sandrine Holt Donald Martin Daniu00E8le J. Suissa
8809|Yun Hota To Kya Hota|Jimmy Shergill|Uttam Gada||Yun Hota To Kya Hota Jimmy Shergill Uttam Gada
8810|Bumping Into Broadway|Harold Lloyd|H.M. Walker||Bumping Into Broadway Harold Lloyd H.M. Walker
8811||Walter John Matthow|Neil Simon||Walter John Matthow Neil Simon
8812|Smokey and the Bandit|Michael D. Henry|Charles Shyer||Smokey and the Bandit Michael D. Henry Charles Shyer
8813||Phil Collins|||Phil Collins
8814|Batman Fights Dracula||Bert R. Mendoza||Batman Fights Dracula  Bert R. Mendoza
8815|All Aboard|Harold Lloyd|H.M. Walker||All Aboard Harold Lloyd H.M. Walker
8816|Surviving Christmas|Jennifer Marie Morrison|Jeffrey Ventimilia||Surviving Christmas Jennifer Marie Morrison Jeffrey Ventimilia
8817||Madhuri Shankar Dixit|||Madhuri Shankar Dixit
8818|The Honourable Wally Norman|Greig Pickhaver|Rick Kalowski||The Honourable Wally Norman Greig Pickhaver Rick Kalowski
8819|Mikey and Nicky|Carol Grace|Elaine May||Mikey and Nicky Carol Grace Elaine May
