id|https://www.scads.de/movieBenchmark/ontology/title|https://www.scads.de/movieBenchmark/ontology/name|http://dbpedia.org/ontology/episodeNumber|http://dbpedia.org/ontology/seasonNumber|http://dbpedia.org/ontology/deathYear|http://dbpedia.org/ontology/birthYear|https://www.scads.de/movieBenchmark/ontology/endYear|https://www.scads.de/movieBenchmark/ontology/startYear|https://www.scads.de/movieBenchmark/ontology/genre_list|https://www.scads.de/movieBenchmark/ontology/primaryProfessions|https://www.scads.de/movieBenchmark/ontology/runtimeMinutes|aggregate value
1501||Lisa Mariano||||||||director,cinematographer||Lisa Mariano director,cinematographer
1502|Sweet Home Sextuplets|||||||2018-01-01|Drama,Family,Reality-TV||60|Sweet Home Sextuplets Sweet Home Sextuplets 2018-01-01 Drama,Family,Reality-TV 0 60
1503||Mikhail Gluzskiy|||2001-01-01|1918-01-01||||actor||actor 2001-01-01 1918-01-01 Mikhail Gluzskiy
1504||Iwan Rheon||||1985-01-01||||actor||actor Iwan Rheon 1985-01-01
1505||Cheryl Callaway||||1946-01-01||||actress||Cheryl Callaway 1946-01-01 actress
1506||Megan Montaner||||1987-01-01||||actress||Megan Montaner 1987-01-01 actress
1507|Dirtiest Tools||1|2||||2006-01-01|Reality-TV|||2 Dirtiest Tools Reality-TV 0 1 2006-01-01 Dirtiest Tools
1508||Srecko Kovacevic||||||||actor,special_effects,camera_department||Srecko Kovacevic actor,special_effects,camera_department
1509||Brigitte Lin||||1954-01-01||||actress||1954-01-01 Brigitte Lin actress
1510|Trial Run||1|1||||1953-01-01|Drama||30|30 1 Trial Run Trial Run 0 1 Drama 1953-01-01
1511|Diener||14|5||||1997-01-01|Crime,Drama,Mystery|||Crime,Drama,Mystery 0 1997-01-01 Diener 5 14 Diener
1512||Jean-Fran?ois Poron|||2020-01-01|1936-01-01||||actor,miscellaneous||actor,miscellaneous 2020-01-01 Jean-Fran?ois Poron 1936-01-01
1513||Miloslav Svandrl?k|||2009-01-01|1932-01-01||||writer,actor||2009-01-01 1932-01-01 writer,actor Miloslav Svandrl?k
1514||Don Kelly|||1966-01-01|1924-01-01||||actor||1966-01-01 actor Don Kelly 1924-01-01
1515||Frank Tweddell|||1971-01-01|1895-01-01||||actor||1971-01-01 actor 1895-01-01 Frank Tweddell
1516|The Sissy||23|1||||1961-01-01|Adventure,Drama,Family||30|30 1 0 The Sissy 23 The Sissy Adventure,Drama,Family 1961-01-01
1517||K?ichi Yamadera||||1961-01-01||||actor,soundtrack||K?ichi Yamadera 1961-01-01 actor,soundtrack
1518|Laughing Boy||12|1||||1953-01-01|Drama||30|30 1 Laughing Boy Laughing Boy 0 12 Drama 1953-01-01
1519|Lord Byron||1|1||||2003-01-01|Biography,Comedy,Documentary|||1 2003-01-01 0 Lord Byron Biography,Comedy,Documentary Lord Byron 1
1520||Friedrich Meyer|||1993-01-01|1915-01-01||||composer,soundtrack,music_department||composer,soundtrack,music_department 1993-01-01 Friedrich Meyer 1915-01-01
1521||Mary Emma Watson||||||||actress||Mary Emma Watson actress
1522||Richard Newman|||2016-01-01|1928-01-01||||writer||1928-01-01 writer Richard Newman 2016-01-01
1523|Padamati Sandhya Ragam|||||||1987-01-01|Romance||142|Padamati Sandhya Ragam 142 1987-01-01 Romance 0 Padamati Sandhya Ragam
1524||Jack Brooks||||||||||Jack Brooks
1525||Kurt Sowinetz|||1991-01-01|1928-01-01||||actor,soundtrack||1928-01-01 actor,soundtrack 1991-01-01 Kurt Sowinetz
1526||Kurt Vanzo||||||||sound_department,composer,producer||sound_department,composer,producer Kurt Vanzo
1527||Rick Smith||||||||||Rick Smith
1528||Ugur I?bak||||||||camera_department,cinematographer,assistant_director||Ugur I?bak camera_department,cinematographer,assistant_director
1529||John K. Butler|||1964-01-01|1908-01-01||||writer||John K. Butler 1964-01-01 1908-01-01 writer
1530||Nicky Guadagni||||||||actress,producer||actress,producer Nicky Guadagni
1531||Mara Corday||||1930-01-01||||actress||Mara Corday 1930-01-01 actress
1532||Benedict Sandiford||||||||actor||Benedict Sandiford actor
1533||Lee Warburton||||1972-01-01||||actor,miscellaneous,writer||1972-01-01 actor,miscellaneous,writer Lee Warburton
1534|Sonnenblumenweg 7||1|6||||1968-01-01|Drama||60|0 Sonnenblumenweg 7 1 Drama 1968-01-01 Sonnenblumenweg 7 6 60
1535|Kellerman, P.I.: Part 2||9|7||||1998-01-01|Crime,Drama,Mystery|||9 1998-01-01 Kellerman, P.I.: Part 2 Crime,Drama,Mystery 0 Kellerman, P.I.: Part 2 7
1536||Michel Piccoli|||2020-01-01|1925-01-01||||actor,producer,director||actor,producer,director 2020-01-01 1925-01-01 Michel Piccoli
1537||William Froug|||2013-01-01|1922-01-01||||producer,writer,miscellaneous||William Froug producer,writer,miscellaneous 1922-01-01 2013-01-01
1538||Catherine Lock||||||||actress||Catherine Lock actress
1539||Sayuri Yoshinaga||||1945-01-01||||actress,soundtrack,producer||actress,soundtrack,producer Sayuri Yoshinaga 1945-01-01
1540|The Things of Life|||||||1970-01-01|Drama,Romance||89|Les choses de la vie 1970-01-01 89 0 Drama,Romance The Things of Life
1541||Paul Burke|||2009-01-01|1926-01-01||||actor,soundtrack||2009-01-01 actor,soundtrack 1926-01-01 Paul Burke
1542||Janice L. Platt||||||||producer,director,writer||producer,director,writer Janice L. Platt
1543||Joe Evans|||1973-01-01|1900-01-01||||actor||1900-01-01 Joe Evans actor 1973-01-01
1544|The New York Story||23|1||||1954-01-01|Drama||30|30 1 1954-01-01 The New York Story The New York Story 0 23 Drama
1545|The Drought||6|1||||1960-01-01|Adventure,Drama,Family||30|30 1 The Drought 1960-01-01 0 6 The Drought Adventure,Drama,Family
1546||Christine Burke|||2009-01-01|1929-01-01||||actress,soundtrack||2009-01-01 1929-01-01 actress,soundtrack Christine Burke
1547|Color Him Lucky||25|1||||1963-01-01|Drama,Sport,Western|||1 Drama,Sport,Western Color Him Lucky 0 Color Him Lucky 1963-01-01 25
1548||Kari Skogland||||||||director,miscellaneous,producer||Kari Skogland director,miscellaneous,producer
1549||Rin Takanashi||||1988-01-01||||actress||1988-01-01 actress Rin Takanashi
1550||Mike Gwilym||||1949-01-01||||actor||1949-01-01 actor Mike Gwilym
1551||Grant Woods|||1968-01-01|1932-01-01||||actor||1932-01-01 actor Grant Woods 1968-01-01
1552||Lee Hae-Young||||||||actor||Lee Hae-Young actor
1553|Enter at Your Own Risk||14|8||||1961-01-01|Drama||30|30 0 Drama Enter at Your Own Risk 8 1961-01-01 Enter at Your Own Risk 14
1554||Stephen Lawrence||||||||editor,editorial_department,production_manager||editor,editorial_department,production_manager Stephen Lawrence
1555||Brad Abrell||||1965-01-01||||actor,miscellaneous||Brad Abrell 1965-01-01 actor,miscellaneous
1556||Erika Peters||||1935-01-01||||actress||1935-01-01 Erika Peters actress
1557|100th Dirty Job Special||22|2||||2006-01-01|Reality-TV||88|2 100th Dirty Job Special Reality-TV 88 0 22 2006-01-01 100th Dirty Job Special
1558||Herbert Vesely|||2002-01-01|1931-01-01||||director,writer,producer||2002-01-01 1931-01-01 director,writer,producer Herbert Vesely
1559|Eeny, Meeny, Murder, Moe||6|1||||2001-01-01|Action,Drama,Mystery|||2001-01-01 1 Eeny, Meeny, Murder, Moe 0 Eeny, Meeny, Murder, Moe 6 Action,Drama,Mystery
1560|Three and Two, Please||16|4||||1956-01-01|Drama||30|30 Three and Two, Please 0 Three and Two, Please Drama 1956-01-01 16 4
1561|Control||9|5||||1996-01-01|Crime,Drama,Mystery|||9 Control 1996-01-01 Crime,Drama,Mystery 0 5 Control
1562|Jobs That Bite Harder||17|2||||2006-01-01|Reality-TV|||2 Reality-TV 0 Jobs That Bite Harder 2006-01-01 17 Jobs That Bite Harder
1563|A Model Top Model||11|2||||1999-01-01|Action,Adventure,Animation|||2 1999-01-01 Action,Adventure,Animation A Model Top Model 0 11 A Model Top Model
1564|Chapter 36||10|3||||2015-01-01|Drama||57|57 0 Drama 10 2015-01-01 Chapter 36 Chapter 36 3
1565||Bruce Pittman||||1950-01-01||||director,producer,writer||director,producer,writer Bruce Pittman 1950-01-01
1566||Vicente Padula|||1967-01-01|1898-01-01||||actor||Vicente Padula actor 1967-01-01 1898-01-01
1567||Sidney Clute|||1985-01-01|1916-01-01||||actor||1985-01-01 1916-01-01 actor Sidney Clute
1568||Robert Espinosa||||||||||Robert Espinosa
1569||Yuri Volchanetsky|||1977-01-01|1919-01-01||||art_department,production_designer,costume_designer||1977-01-01 art_department,production_designer,costume_designer Yuri Volchanetsky 1919-01-01
1570||Madlyn Rhue|||2003-01-01|1935-01-01||||actress,soundtrack,miscellaneous||2003-01-01 1935-01-01 actress,soundtrack,miscellaneous Madlyn Rhue
1571||Robert Reardon||||||||actor||actor Robert Reardon
1572||Robert B. Weide||||1959-01-01||||producer,director,writer||Robert B. Weide producer,director,writer 1959-01-01
1573||Vivica A. Fox||||1964-01-01||||actress,producer,soundtrack||actress,producer,soundtrack Vivica A. Fox 1964-01-01
1574||Agnes Sligh Turnbull||||||||writer||Agnes Sligh Turnbull writer
1575||Daniel A. Nathan|||1971-01-01|1916-01-01||||production_manager,editor,producer||production_manager,editor,producer 1916-01-01 1971-01-01 Daniel A. Nathan
1576||Martin Scorsese||||1942-01-01||||producer,director,actor||1942-01-01 Martin Scorsese producer,director,actor
1577|Es f?hrt kein Weg zur?ck||1|1||||1963-01-01|Drama||62|1 62 Es f?hrt kein Weg zur?ck 0 1 Drama Es f?hrt kein Weg zur?ck 1963-01-01
1578||Baynes Barron|||1982-01-01|1917-01-01||||actor||1982-01-01 1917-01-01 actor Baynes Barron
1579||Stefan Schnabel|||1999-01-01|1912-01-01||||actor||actor Stefan Schnabel 1912-01-01 1999-01-01
1580|Vendetta||3|3||||1961-01-01|Adventure||60|Adventure Vendetta Vendetta 0 1961-01-01 3 3 60
1581||Dieter Lemmel||||1924-01-01||||director,writer,producer||Dieter Lemmel director,writer,producer 1924-01-01
1582|M?ns Nathanaelson g?star||4|3||||2019-01-01|Comedy|||0 M?ns Nathanaelson g?star M?ns Nathanaelson g?star Comedy 2019-01-01 4 3
1583|The Man Who Couldn't Smile||25|8||||1961-01-01|Drama||30|30 The Man Who Couldn't Smile 0 Drama 8 The Man Who Couldn't Smile 1961-01-01 25
1584|The Circuit||28|1||||1961-01-01|Adventure,Drama,Family||30|30 1 The Circuit 0 The Circuit 28 Adventure,Drama,Family 1961-01-01
1585|A Matter of Percentage||17|1||||1963-01-01|Drama,Sport,Western|||1 Drama,Sport,Western 0 17 1963-01-01 A Matter of Percentage A Matter of Percentage
1586||Roberto Bangura||||1962-01-01||||director,writer,editor||Roberto Bangura 1962-01-01 director,writer,editor
1587||Sandip Senan||||||||producer||producer Sandip Senan
1588||Elizabeth Bennett||||1944-01-01||||actress||Elizabeth Bennett actress 1944-01-01
1589||Preston Foster|||1970-01-01|1900-01-01||||actor,soundtrack||1900-01-01 actor,soundtrack 1970-01-01 Preston Foster
1590||Nancy Gilbert||||||||actress||actress Nancy Gilbert
1591|Dr. Juliet||2|2||||1954-01-01|Drama||30|2 30 1954-01-01 Dr. Juliet 0 2 Dr. Juliet Drama
1592||Daniel Stemer||||||||actor||Daniel Stemer actor
1593|Docventures|||||||2013-01-01|Documentary,Talk-Show|||Docventures Docventures Documentary,Talk-Show 2013-01-01 0
1594||Marc Sheffler||||||||writer,miscellaneous,actor||Marc Sheffler writer,miscellaneous,actor
1595||Dehl Berti|||1991-01-01|1921-01-01||||actor,writer||Dehl Berti actor,writer 1921-01-01 1991-01-01
1596||Michael Conrad|||1983-01-01|1925-01-01||||actor||Michael Conrad actor 1983-01-01 1925-01-01
1597||John Beradino|||1996-01-01|1917-01-01||||actor,writer||actor,writer 1996-01-01 1917-01-01 John Beradino
1598||Danny Breen|||2017-01-01|1950-01-01||||producer,writer,actor||Danny Breen 1950-01-01 producer,writer,actor 2017-01-01
1599|Pat Hand||3|1||||1962-01-01|Adventure|||1 Adventure Pat Hand 1962-01-01 0 Pat Hand 3
1600||Inti Herrera||||||||producer,production_manager,assistant_director||Inti Herrera producer,production_manager,assistant_director
1601||Robert Bockstael||||||||actor,director,writer||Robert Bockstael actor,director,writer
1602||Patty Ann Gerrity|||1991-01-01|1948-01-01||||actress||1948-01-01 actress Patty Ann Gerrity 1991-01-01
1603||Lawrence Edward Watkin|||1981-01-01|1901-01-01||||writer,soundtrack,music_department||writer,soundtrack,music_department Lawrence Edward Watkin 1901-01-01 1981-01-01
1604|The Jonah Stone||24|2||||1961-01-01|Adventure||60|2 Adventure 0 24 The Jonah Stone The Jonah Stone 1961-01-01 60
1605||Sarah Evans||||||||actress,miscellaneous||actress,miscellaneous Sarah Evans
1606||Meg Watters||||||||miscellaneous,actress||miscellaneous,actress Meg Watters
1607||John Clive|||2012-01-01|1933-01-01||||actor,director,music_department||John Clive actor,director,music_department 2012-01-01 1933-01-01
1608||Steve Liebmann||||1944-01-01||||actor||Steve Liebmann actor 1944-01-01
1609||Ingrid Resch||||1935-01-01||||actress||1935-01-01 actress Ingrid Resch
1610||Edwin Hodgeman||||1935-01-01||||actor||1935-01-01 Edwin Hodgeman actor
1611|Death in Slaughter Stream||8|1||||2004-01-01|Documentary||48|2004-01-01 1 Death in Slaughter Stream 8 0 48 Death in Slaughter Stream Documentary
1612||Alexander Hegarth|||1984-01-01|1923-01-01||||actor||actor Alexander Hegarth 1984-01-01 1923-01-01
1613||Sally Gray||||||||writer,actress,producer||Sally Gray writer,actress,producer
1614||Thomas Gomez|||1971-01-01|1905-01-01||||actor||1971-01-01 actor Thomas Gomez 1905-01-01
1615||Margaret Laurence|||1987-01-01|1926-01-01||||writer||1926-01-01 writer Margaret Laurence 1987-01-01
1616||Henry Brown||||||||actor||actor Henry Brown
1617|A Dollar's Worth||1|5||||1957-01-01|Drama||30|30 1957-01-01 A Dollar's Worth 0 A Dollar's Worth 1 Drama 5
1618||Sean Whitesell|||2015-01-01|1963-01-01||||producer,writer,actor||producer,writer,actor 2015-01-01 1963-01-01 Sean Whitesell
1619||Vladimir Sokoloff|||1962-01-01|1889-01-01||||actor,miscellaneous||actor,miscellaneous 1962-01-01 1889-01-01 Vladimir Sokoloff
1620||Larry Hagman|||2012-01-01|1931-01-01||||actor,producer,director||2012-01-01 Larry Hagman actor,producer,director 1931-01-01
1621||Roger Dumas|||2016-01-01|1932-01-01||||actor,soundtrack,miscellaneous||1932-01-01 Roger Dumas actor,soundtrack,miscellaneous 2016-01-01
1622||Philip Bourneuf|||1979-01-01|1908-01-01||||actor||Philip Bourneuf actor 1908-01-01 1979-01-01
1623||Michael Cumming||||||||director,writer,producer||Michael Cumming director,writer,producer
1624|Man Eater||17|2||||1961-01-01|Adventure||60|2 Adventure Man Eater 0 Man Eater 17 1961-01-01 60
1625||Lon Chaney|||1930-01-01|1883-01-01||||actor,director,writer||1883-01-01 1930-01-01 Lon Chaney actor,director,writer
1626||Andrew Hunt||||||||||Andrew Hunt
1627||Steven Keats|||1994-01-01|1945-01-01||||actor||actor 1994-01-01 Steven Keats 1945-01-01
1628||Jay Tarses||||1939-01-01||||writer,producer,actor||writer,producer,actor Jay Tarses 1939-01-01
1629||Albena Katerinska||||||||editor,editorial_department,sound_department||Albena Katerinska editor,editorial_department,sound_department
1630|The End of the Week||12|4||||1956-01-01|Drama||30|30 The End of the Week 0 12 Drama 1956-01-01 The End of the Week 4
1631||Patrick Westwood|||2017-01-01|1924-01-01||||actor,miscellaneous||Patrick Westwood actor,miscellaneous 2017-01-01 1924-01-01
1632||Andy Gertsner||||||||||Andy Gertsner
1633||Kristin Stanford||||||||||Kristin Stanford
1634|Happy Ordinary Day||19|1||||2016-01-01|Animation,Comedy,Family|||1 Happy Ordinary Day 19 2016-01-01 Animation,Comedy,Family 0 Happy Ordinary Day
1635||Maryann Towne||||||||actress,miscellaneous||Maryann Towne actress,miscellaneous
1636||Tito Valverde||||1951-01-01||||actor,soundtrack||1951-01-01 actor,soundtrack Tito Valverde
1637|Long Live the Sultan||30|1||||1962-01-01|Adventure||30|30 1 Adventure Long Live the Sultan 30 1962-01-01 0 Long Live the Sultan
1638||Im Ye-jin||||||||actress||Im Ye-jin actress
1639||Hugh O'Brian|||2016-01-01|1925-01-01||||actor,soundtrack,miscellaneous||actor,soundtrack,miscellaneous 2016-01-01 1925-01-01 Hugh O'Brian
1640|The Forbidden Sea||25|1||||1960-01-01|Adventure||60|The Forbidden Sea 1 Adventure 1960-01-01 0 The Forbidden Sea 25 60
1641||Paula Dehelly|||2008-01-01|1917-01-01||||actress,miscellaneous||1917-01-01 actress,miscellaneous Paula Dehelly 2008-01-01
1642||Bobby Driscoll|||1968-01-01|1937-01-01||||actor,soundtrack,miscellaneous||actor,soundtrack,miscellaneous 1937-01-01 Bobby Driscoll 1968-01-01
1643||Manfred Ensinger||||1929-01-01||||cinematographer,camera_department,director||cinematographer,camera_department,director Manfred Ensinger 1929-01-01
1644||Raymond Bailey|||1980-01-01|1904-01-01||||actor,soundtrack||actor,soundtrack 1980-01-01 Raymond Bailey 1904-01-01
1645||N. Yefanova||||||||costume_designer||costume_designer N. Yefanova
1646||Robert Ellenstein|||2010-01-01|1923-01-01||||actor,director||2010-01-01 Robert Ellenstein actor,director 1923-01-01
1647||Emily Whitesell||||1964-01-01||||producer,writer,miscellaneous||Emily Whitesell producer,writer,miscellaneous 1964-01-01
1648||Patricia Clarkson||||1959-01-01||||actress,producer,soundtrack||Patricia Clarkson actress,producer,soundtrack 1959-01-01
1649||Peter Veverka||||||||producer,assistant_director,production_manager||producer,assistant_director,production_manager Peter Veverka
1650||Rich Ackerman||||||||||Rich Ackerman
1651||Mark Allen|||2003-01-01|1920-01-01||||actor||2003-01-01 Mark Allen actor 1920-01-01
1652|The Maxx||||||1995-01-01|1995-01-01|Action,Adventure,Animation||154|Action,Adventure,Animation 1995-01-01 154 0 The Maxx 1995-01-01 The Maxx
1653||Donald S. Sanford|||2011-01-01|1918-01-01||||writer||Donald S. Sanford 2011-01-01 1918-01-01 writer
1654||Patricia Blair|||2013-01-01|1933-01-01||||actress||Patricia Blair 2013-01-01 actress 1933-01-01
1655|Hill of Ghosts||30|2||||1961-01-01|Adventure||60|2 Adventure Hill of Ghosts 30 0 Hill of Ghosts 1961-01-01 60
1656||Frank Campanella|||2006-01-01|1919-01-01||||actor||Frank Campanella actor 1919-01-01 2006-01-01
1657|The Terrible Secret of Turtle Bay||0|1||||2003-01-01|Action,Adventure,Animation||22|1 Action,Adventure,Animation 22 2003-01-01 The Terrible Secret of Turtle Bay 0 The Terrible Secret of Turtle Bay 0
1658|White Lies||6|5||||1996-01-01|Crime,Drama,Mystery|||White Lies 1996-01-01 Crime,Drama,Mystery 0 White Lies 6 5
1659|Competitive Spirit||5|3||||1999-01-01|Animation,Comedy,Fantasy||21|21 1999-01-01 Competitive Spirit Competitive Spirit 0 Animation,Comedy,Fantasy 5 3
1660|Silent Threat||20|1||||1958-01-01|Adventure||30|30 1 Adventure Silent Threat 20 0 Silent Threat 1958-01-01
1661|Finding Farideh|||||||2018-01-01|Documentary||88|2018-01-01 Finding Farideh Documentary 88 Finding Farideh 0
1662||Barbara Kopple||||1946-01-01||||director,producer,sound_department||director,producer,sound_department 1946-01-01 Barbara Kopple
1663||Pat Harrison||||||||production_manager,actor,location_management||Pat Harrison production_manager,actor,location_management
1664||Noa Ben-Artzi||||||||writer||Noa Ben-Artzi writer
1665||Fernando Fiore||||||||actor||Fernando Fiore actor
1666||Claes Malmberg||||1961-01-01||||actor,writer||actor,writer 1961-01-01 Claes Malmberg
1667|The Count of Ten||25|1||||1954-01-01|Drama||30|30 The Count of Ten 1 1954-01-01 0 Drama The Count of Ten 25
1668||Sh?suke Tanihara||||1972-01-01||||actor||Sh?suke Tanihara 1972-01-01 actor
1669||Allen Jaffe|||1989-01-01|1928-01-01||||actor||actor 1928-01-01 Allen Jaffe 1989-01-01
1670||Paul Reiser||||1956-01-01||||actor,writer,producer||Paul Reiser actor,writer,producer 1956-01-01
1671||Karen Bernstein||||1969-01-01||||actress||1969-01-01 actress Karen Bernstein
1672||Preston Hanson|||2008-01-01|1921-01-01||||actor||1921-01-01 actor 2008-01-01 Preston Hanson
1673||Edwin Blum|||1995-01-01|1906-01-01||||writer,script_department||writer,script_department 1906-01-01 1995-01-01 Edwin Blum
1674||Max Mellin|||1977-01-01|1904-01-01||||production_designer,art_director||1977-01-01 Max Mellin production_designer,art_director 1904-01-01
1675||John Dahl||||1956-01-01||||director,art_department,writer||director,art_department,writer John Dahl 1956-01-01
1676||Randy Krehbiel||||||||camera_department,cinematographer||Randy Krehbiel camera_department,cinematographer
1677||Cyril Hume|||1966-01-01|1900-01-01||||writer,miscellaneous||1900-01-01 writer,miscellaneous 1966-01-01 Cyril Hume
1678||Konstantin Iliev|||1988-01-01|1924-01-01||||composer||1988-01-01 Konstantin Iliev composer 1924-01-01
1679||James G. Richardson|||1983-01-01|1945-01-01||||actor,writer||actor,writer James G. Richardson 1983-01-01 1945-01-01
1680||Gary Hickeson||||||||composer,sound_department||Gary Hickeson composer,sound_department
1681||Ljiljana Pejcinovic||||||||production_designer,costume_designer||production_designer,costume_designer Ljiljana Pejcinovic
1682|Play for Today||||||1984-01-01|1970-01-01|Comedy,Drama||75|1970-01-01 75 Play for Today Comedy,Drama 0 1984-01-01 Play for Today
1683||Nassim Al Fakir||||1977-01-01||||actor,soundtrack||1977-01-01 Nassim Al Fakir actor,soundtrack
1684||Dana Medrick?|||1983-01-01|1920-01-01||||actress||Dana Medrick? 1983-01-01 actress 1920-01-01
1685||William Daniels||||1927-01-01||||actor,director,soundtrack||William Daniels 1927-01-01 actor,director,soundtrack
1686|Secrets||20|6||||1998-01-01|Crime,Drama,Mystery|||Secrets 1998-01-01 20 Crime,Drama,Mystery 0 Secrets 6
1687||Saffron Burrows||||1972-01-01||||actress,director,writer||Saffron Burrows actress,director,writer 1972-01-01
1688|The Thong||5|2||||2001-01-01|Comedy||28|2 2001-01-01 The Thong The Thong 0 Comedy 28 5
1689||Yesim Salkim||||1968-01-01||||actress||Yesim Salkim 1968-01-01 actress
1690|Second Spring||20|7||||1960-01-01|Drama||30|30 20 1960-01-01 0 Drama 7 Second Spring Second Spring
1691||Meghan Maguire||||||||actress||Meghan Maguire actress
1692||Dennis Potter|||1994-01-01|1935-01-01||||writer,producer,director||1935-01-01 1994-01-01 Dennis Potter writer,producer,director
1693||Tom Owens||||||||animation_department,art_department,director||Tom Owens animation_department,art_department,director
1694|Chapter 9||9|1||||2013-01-01|Drama||49|9 1 2013-01-01 0 Chapter 9 49 Drama Chapter 9
1695||Martine Bartlett|||2006-01-01|1925-01-01||||actress,writer||actress,writer Martine Bartlett 1925-01-01 2006-01-01
1696|Chapter 68||3|6||||2018-01-01|Drama||53|53 0 Drama 2018-01-01 6 Chapter 68 Chapter 68 3
1697||Jaume Valls||||||||actor||Jaume Valls actor
1698|Too Many Clients: Part 1||9|2||||2002-01-01|Action,Drama,Mystery|||2 9 Too Many Clients: Part 1 Too Many Clients: Part 1 0 Action,Drama,Mystery 2002-01-01
1699||Chiwa Sait?||||1981-01-01||||actress,soundtrack||Chiwa Sait? actress,soundtrack 1981-01-01
1700|Foisted!||1|9||||2017-01-01|Comedy||37|2017-01-01 0 Foisted! 1 9 37 Comedy Foisted!
1701|Thrill of the Kill||4|4||||1995-01-01|Crime,Drama,Mystery|||Crime,Drama,Mystery 0 1995-01-01 Thrill of the Kill 4 4 Thrill of the Kill
1702||Amanda Randolph|||1967-01-01|1896-01-01||||actress,soundtrack||1896-01-01 Amanda Randolph actress,soundtrack 1967-01-01
1703||William Frawley|||1966-01-01|1887-01-01||||actor,soundtrack||1966-01-01 actor,soundtrack 1887-01-01 William Frawley
1704||Dora Venter||||1976-01-01||||actress||Dora Venter 1976-01-01 actress
1705||Simon Delaney||||||||director||director Simon Delaney
1706|Night Rescue||10|1||||1957-01-01|Adventure||30|30 1 Adventure Night Rescue 1957-01-01 Night Rescue 0 10
1707||Bob Barbash|||1995-01-01|1919-01-01||||writer,production_manager,producer||1995-01-01 writer,production_manager,producer 1919-01-01 Bob Barbash
1708||Jessica Hann||||||||actress||actress Jessica Hann
1709||Mark Thibodeaux||||||||||Mark Thibodeaux
1710||Jerzy Lipman|||1983-01-01|1922-01-01||||cinematographer,director,writer||1922-01-01 1983-01-01 cinematographer,director,writer Jerzy Lipman
1711||Craig Stevens|||2000-01-01|1918-01-01||||actor,soundtrack||2000-01-01 Craig Stevens actor,soundtrack 1918-01-01
1712||Diana Lynn|||1971-01-01|1926-01-01||||actress,soundtrack||1971-01-01 Diana Lynn 1926-01-01 actress,soundtrack
1713||Erin O'Brien-Moore|||1979-01-01|1902-01-01||||actress||Erin O'Brien-Moore actress 1902-01-01 1979-01-01
1714||Edward Tang||||1946-01-01||||writer,producer,miscellaneous||1946-01-01 Edward Tang writer,producer,miscellaneous
1715||David Thomas||||||||actor||David Thomas actor
1716|Mink Coat||30|2||||1955-01-01|Drama||30|2 30 Mink Coat 30 0 Drama Mink Coat 1955-01-01
1717||Oswaldo Campozana||||||||actor||actor Oswaldo Campozana
1718||Caio Rodriguez||||||||editor,editorial_department||editor,editorial_department Caio Rodriguez
1719||Mel Blanc|||1989-01-01|1908-01-01||||actor,soundtrack,music_department||actor,soundtrack,music_department 1908-01-01 Mel Blanc 1989-01-01
1720||Phil Harris|||1995-01-01|1904-01-01||||actor,soundtrack,music_department||actor,soundtrack,music_department 1995-01-01 Phil Harris 1904-01-01
1721||Marek Mackovic||||||||producer,miscellaneous,director||producer,miscellaneous,director Marek Mackovic
1722||Jelle Nesna||||1955-01-01||||director,producer,writer||director,producer,writer Jelle Nesna 1955-01-01
1723||Eddie Fitzgerald|||1966-01-01|1901-01-01||||cinematographer,camera_department||cinematographer,camera_department 1966-01-01 Eddie Fitzgerald 1901-01-01
1724||Tony Mooney||||1965-01-01||||actor,art_department||Tony Mooney 1965-01-01 actor,art_department
1725||Wolfgang de Gelmini|||1993-01-01|1926-01-01||||composer,cinematographer,soundtrack||1993-01-01 1926-01-01 Wolfgang de Gelmini composer,cinematographer,soundtrack
1726||Hans Maeter|||2012-01-01|1923-01-01||||writer||2012-01-01 1923-01-01 writer Hans Maeter
1727||Xenia P?rtner|||2005-01-01|1932-01-01||||actress||1932-01-01 actress Xenia P?rtner 2005-01-01
1728||Bok-rae Jo||||||||actor,soundtrack||Bok-rae Jo actor,soundtrack
1729|Breakdown||5|1||||2005-01-01|Comedy|||1 0 Comedy 2005-01-01 Breakdown Breakdown 5
1730|Prison Riot||3|5||||1996-01-01|Crime,Drama,Mystery|||Prison Riot 1996-01-01 Crime,Drama,Mystery 0 Prison Riot 5 3
1731||John Tucker Battle|||1962-01-01|1902-01-01||||writer||1962-01-01 John Tucker Battle writer 1902-01-01
1732|The Things I Cannot Change|||||||1967-01-01|Documentary||55|The Things I Cannot Change The Things I Cannot Change 1967-01-01 Documentary 55 0
1733||Don Cicoletti||||||||||Don Cicoletti
1734||Helena Lumbreras||||||||director,writer,cinematographer||director,writer,cinematographer Helena Lumbreras
1735|The Smoking Jacket||6|5||||2005-01-01|Comedy||30|30 0 The Smoking Jacket Comedy 2005-01-01 6 5 The Smoking Jacket
1736||Zdenek Miler|||2011-01-01|1921-01-01||||director,writer,art_director||1921-01-01 director,writer,art_director 2011-01-01 Zdenek Miler
1737|The Raffle||1|1||||1960-01-01|Adventure,Drama,Family||30|30 1 The Raffle 1960-01-01 0 1 The Raffle Adventure,Drama,Family
1738||Peter Ustinov|||2004-01-01|1921-01-01||||actor,writer,director||1921-01-01 actor,writer,director Peter Ustinov 2004-01-01
