id|https://www.scads.de/movieBenchmark/ontology/title|https://www.scads.de/movieBenchmark/ontology/name|http://dbpedia.org/ontology/abstract|http://dbpedia.org/ontology/episodeNumber|http://dbpedia.org/ontology/seasonNumber|http://dbpedia.org/ontology/numberOfSeasons|http://dbpedia.org/ontology/numberOfEpisodes|http://dbpedia.org/ontology/birthDate|http://dbpedia.org/ontology/releaseDate|https://www.scads.de/movieBenchmark/ontology/last_air_date|https://www.scads.de/movieBenchmark/ontology/release_year|http://dbpedia.org/ontology/runtime|https://www.scads.de/movieBenchmark/ontology/genre_list|https://www.scads.de/movieBenchmark/ontology/origin_country|aggregate value
1320|Letter to Loretta: Trial Run|||1|1||||1953-09-20||1953-01-01||||1953-09-20 1 1 Letter to Loretta: Trial Run 1953-01-01
1321||Campbell Scott|||||||||||||Campbell Scott 2 Acting
1322||Dan Fox|||||||||||||Dan Fox 0
1323||Scott Huegerich|||||||||||||Scott Huegerich 0
1324||?douard Daladier|||||||||||||?douard Daladier 2
1325|Mule Logger||Mike joins forces with a master-cooper, or in laymen's terms, a barrel maker. Mike also teams up with some mule loggers.|3|3||||2007-01-23||2007-01-01||||Mike joins forces with a master-cooper, or in laymen's terms, a barrel maker. Mike also teams up with some mule loggers. 2007-01-01 Mule Logger 2007-01-23 3 3
1326|Medieval - Elizabethan 1400-1600||This programme explores the late Medieval period leading into the Renaissance, discussing poems dealing with love, death and ambition by Skelton, Wyatt, Raleigh, Marlowe and Shakespeare.|4|1||||1984-05-23||1984-01-01||||Medieval - Elizabethan 1400-1600 1 1984-05-23 1984-01-01 This programme explores the late Medieval period leading into the Renaissance, discussing poems dealing with love, death and ambition by Skelton, Wyatt, Raleigh, Marlowe and Shakespeare. 4
1327||DD Productions|||||||||||||DD Productions productionCompany
1328||Joe Hobbs|||||||||||||Joe Hobbs 0
1329||Ray Fisher|||||||||||||2 Ray Fisher
1330||Cary Joji Fukunaga|||||||||||||Cary Joji Fukunaga 0
1331|Episode 4|||4|1||||2015-07-14||2015-01-01||||2015-01-01 Episode 4 1 2015-07-14 4
1332|?????????|||16|1||||||||||1 ????????? 16
1333||Tim Hunter|||||||||||||2 Tim Hunter Directing
1334||Didier Lozahic|||||||||||||Didier Lozahic 0
1335||Li Landy|||||||||||||1 Li Landy
1336||Lev Lyubetsky|||||||||||||Lev Lyubetsky 2
1337|Episode 7|||7|1||||1972-02-24||1972-01-01||||1972-02-24 1 1972-01-01 7 Episode 7
1338||Hywel Bennett|||||||||||||Hywel Bennett 2
1339|Episode 7|||7|1||||1971-10-24||1971-01-01||||1 7 1971-01-01 1971-10-24 Episode 7
1340||Matt Reeves|||||||||||||2 Matt Reeves Directing
1341||Federica Belfiore|||||||||||||Federica Belfiore 0
1342||Helen Marray-Finlay|||||||||||||Helen Marray-Finlay 0
1343||Louise Friedberg|||||||||||||1 Louise Friedberg Directing
1344||Suzanne Pinoteau|||||||||||||1 Suzanne Pinoteau
1345||Shin Hyo-jung|||||||||||||Shin Hyo-jung 0
1346||Ashoke Bose|||||||||||||Ashoke Bose 0
1347|Episode 30 - Bamboo Derby II ~ Kangaroo|||30|1||||||||||1 Episode 30 - Bamboo Derby II ~ Kangaroo 30
1348|The Best Season|||25|7||||1960-04-17||1960-01-01||||The Best Season 1960-04-17 7 1960-01-01 25
1349||Helder Sun|||||||||||||Helder Sun 0
1350||Sre?ko Kova?evi?|||||||||||||Sre?ko Kova?evi? 0
1351||Ali Lakrouf|||||||||||||Ali Lakrouf 0
1352|Episode 6|||6|3||||2019-05-26||2019-01-01||||6 2019-01-01 2019-05-26 Episode 6 3
1353||Michael Lamont|||||||||||||Michael Lamont 2
1354||Steppenwolf Theatre Chicago|||||||||||||productionCompany Steppenwolf Theatre Chicago
1355|Empty Village|||16|1||||1962-06-05||1962-01-01||||1962-01-01 1 Empty Village 16 1962-06-05
1356||James Foley|||||||||||||James Foley 2 Directing
1357|Bio-Diesel Man|||14|1||||2005-10-25||2005-01-01||||Bio-Diesel Man 1 2005-10-25 2005-01-01 14
1358||Sara Stone|||||||||||||Sara Stone 1
1359|Proyecto Cupido|||11|6||||1999-03-18||1999-01-01||||11 6 Proyecto Cupido 1999-03-18 1999-01-01
1360|Poison a la Carte||Someone's poisoned a lecherous producer during a banquet prepared by Fritz, and Wolfe starts investigating the kitchen before the victim has even stopped breathing.  He boils down the pool of suspects to one of five female servers, but it takes a clever ruse to bring the killer out into the open.  Meanwhile Archie finds himself enjoying the attention of the nubile young servers.|8|2||||2002-05-26||2002-01-01||||2 Poison a la Carte 2002-05-26 2002-01-01 8 Someone's poisoned a lecherous producer during a banquet prepared by Fritz, and Wolfe starts investigating the kitchen before the victim has even stopped breathing.  He boils down the pool of suspects to one of five female servers, but it takes a clever ruse to bring the killer out into the open.  Meanwhile Archie finds himself enjoying the attention of the nubile young servers.
1361||Lee Warburton|||||||||||||0 Acting Lee Warburton
1362|Episode 15|||15|2||||2017-08-14||2017-01-01||||2 2017-01-01 15 Episode 15 2017-08-14
1363|Episode 16|||16|1||||2003-01-31||2003-01-01||||1 2003-01-31 2003-01-01 16 Episode 16
1364||Yoon Ji-ryeon|||||||||||||Yoon Ji-ryeon 0
1365|Episode 32 - Skeboarder ~ Bamboo Derby II|||32|1||||||||||1 Episode 32 - Skeboarder ~ Bamboo Derby II 32
1366|Date Palm Pollinator||Mike answers viewer mail and pollinates date palm trees in Palm Springs.|22|6||||2010-12-28||2010-01-01||||Date Palm Pollinator 2010-12-28 2010-01-01 22 Mike answers viewer mail and pollinates date palm trees in Palm Springs. 6
1367|Episode 1|||1|1||||1983-03-02||1983-01-01||||1 1 1983-03-02 1983-01-01 Episode 1
1368|A New Step|||7|7||||1959-11-08||1959-01-01||||7 7 A New Step 1959-01-01 1959-11-08
1369|Episode 1|||1|1||||1963-06-06||1963-01-01||||1 1 1963-01-01 Episode 1 1963-06-06
1370||Eckart Hachfeld|||||||||||||Eckart Hachfeld Writing 0
1371||Tamasaburo Bando|||||||||||||Tamasaburo Bando 2 Acting
1372|Stories from Norway||Investigative musical series with each episode being a standalone that deals with one real life object or event.|||1|7||2018-02-19|2018-04-09|2018-01-01|22|Comedy|NO|Returning Series 2018-02-19 Comedy true Investigative musical series with each episode being a standalone that deals with one real life object or event. Stories from Norway https://www.dplay.no/programmer/stories-from-norway 2018-01-01 2018-04-09 1 en, no 22 7 Stories from Norway NO no
1373|Episode 12|||12|1||||2016-12-16||2016-01-01||||1 12 2016-12-16 Episode 12 2016-01-01
1374|The Terrorist Attack||A rumored threat of a terrorist attack undermines a benefit performance by Alanis Morissette at the home of one of Larry's friends. Meanwhile, Larry can't help snubbing Mindy Reiser, wife of actor Paul Reiser, during a series of encounters at a restaurant and the perfume shop where she works.|5|3||||2002-10-13||2002-01-01||||2002-10-13 2002-01-01 A rumored threat of a terrorist attack undermines a benefit performance by Alanis Morissette at the home of one of Larry's friends. Meanwhile, Larry can't help snubbing Mindy Reiser, wife of actor Paul Reiser, during a series of encounters at a restaurant and the perfume shop where she works. 5 The Terrorist Attack 3
1375||Agat Films & Cie||||||||||||FR|FR productionCompany Agat Films & Cie
1376|Der neue B?rgermeister|||6|1||||2012-10-23||2012-01-01||||2012-01-01 1 2012-10-23 6 Der neue B?rgermeister
1377||Stuart Clark|||||||||||||Stuart Clark 0
1378|[53] Koimonogatari [5] Hitagi End - Part 5||Tsubasa Hanekawa, supposedly overseas in search of Meme Oshino, suddenly approached Kaiki to talk to him. After exchanging information with Tsubasa, Kaiki gets the finishing touches ready for his preparations to deceive Nadeko the snake god.|22|3||||2013-12-22||2013-01-01||||2013-01-01 22 2013-12-22 Tsubasa Hanekawa, supposedly overseas in search of Meme Oshino, suddenly approached Kaiki to talk to him. After exchanging information with Tsubasa, Kaiki gets the finishing touches ready for his preparations to deceive Nadeko the snake god. [53] Koimonogatari [5] Hitagi End - Part 5 3
1379||tv asahi||||||||||||JP|tv asahi productionCompany JP
1380||Patricia Clarkson|||||||||||||Patricia Clarkson 1
1381||Elbey Rzaguliyev|||||||||||||Elbey Rzaguliyev 0
1382|Episode 4||Sara's attic has become a meeting-place for Becky and Ermengarde. A gentleman from India has moved in next door.|4|1||||1973-03-11||1973-01-01||||Episode 4 1 1973-03-11 1973-01-01 Sara's attic has become a meeting-place for Becky and Ermengarde. A gentleman from India has moved in next door. 4
1383||Kurt Vespermann|||||||||||||2 Kurt Vespermann
1384|Clara Henry g?star|||2|2||||2018-03-16||2018-01-01||||2 2018-01-01 2 2018-03-16 Clara Henry g?star
1385||Kelly Reilly|||||||||||||1 Kelly Reilly
1386||Jeannot Szwarc|||||||||||||2 Jeannot Szwarc Directing
1387|Parcel Puzzle||When Violet tells Monty that a problem is too big for a little boy to solve, he wonders if only big people can solve big problems.|54|1||||2017-07-13||2017-01-01||||2017-07-13 Parcel Puzzle 1 54 When Violet tells Monty that a problem is too big for a little boy to solve, he wonders if only big people can solve big problems. 2017-01-01
1388||Noreen Kershaw|||||||||||||Noreen Kershaw 1 Acting
1389||Leyla Rzayeva|||||||||||||Leyla Rzayeva 0
1390||Jon Laurimore|||||||||||||Jon Laurimore 0
1391||Greg Kinnear|||||||||||||Greg Kinnear 2 Acting
1392||ORF||||||||||||AT|network AT ORF
1393||Kana Miyai|||||||||||||Kana Miyai 0
1394||Lyubov Rumyantseva|||||||||||||1 Lyubov Rumyantseva
1395|Sponge Diver||Mike heads to Tarpon Springs, Florida to help collect sponges off the sea floor. Then he answers viewer mail and recounts his struggle with a metal fence post at an abandoned mine.|7|7||||2011-02-15||2011-01-01||||2011-02-15 7 2011-01-01 7 Mike heads to Tarpon Springs, Florida to help collect sponges off the sea floor. Then he answers viewer mail and recounts his struggle with a metal fence post at an abandoned mine. Sponge Diver
1396||James Stoteraux|||||||||||||2 Writing James Stoteraux
1397||Frank McDonald|||||||||||||Frank McDonald 2 Directing
1398|Second Spring|||20|7||||1960-02-21||1960-01-01||||1960-02-21 7 Second Spring 20 1960-01-01
1399|Shaq||Larry is villainized for accidentally tripping Shaquille O'Neal at a Lakers game, but the incident ironically ends up bringing him good luck.|8|2||||2001-11-11||2001-01-01||||2 8 2001-01-01 2001-11-11 Shaq Larry is villainized for accidentally tripping Shaquille O'Neal at a Lakers game, but the incident ironically ends up bringing him good luck.
1400|Episode 2|||2|3||||2019-05-12||2019-01-01||||2 2019-05-12 Episode 2 2019-01-01 3
1401|The Mob Riders||Local teen-agers become upset when they discover that the old arena they use for stock car races will be converted into a rodeo IF Stoney Burke agrees to perform there.|5|1||||1962-10-29||1962-01-01||||1962-01-01 1 1962-10-29 5 The Mob Riders Local teen-agers become upset when they discover that the old arena they use for stock car races will be converted into a rodeo IF Stoney Burke agrees to perform there.
1402|Episode 2||Freddie and Stuart go shopping for a new coat for Freddie's Dr Who fan club event. Meanwhile new neighbour Ash seeks advice from Violet and Penelope on winning back his ex-­girlfriend.|2|1||||2013-05-06||2013-01-01||||Freddie and Stuart go shopping for a new coat for Freddie's Dr Who fan club event. Meanwhile new neighbour Ash seeks advice from Violet and Penelope on winning back his ex-­girlfriend. 2 1 Episode 2 2013-01-01 2013-05-06
1403|Girl in Hiding|||11|1||||1962-05-01||1962-01-01||||Girl in Hiding 1962-01-01 1 11 1962-05-01
1404|Rene Descartes||'Join the award winning comedian Mark Steel as he charts Descartescourse through scientific history; his stint as a card shark in theDutch army, his invention of the little 2, the symbol used tosignify a squared number, his invention of the x and y used inalgebra. Not to mention his numerous biological experiments thatgave us first clear idea that the senses were linked to the centralnervous system and his seminal work, ‘The Meditations’ in which heconstructed a theory of the universe which instead of beginningwith blind faith, insisted on the prominence of doubt as a startingpoint.Not bad for a bloke with a rubbish catchphrase.|3|3||||2006-03-09||2006-01-01||||Rene Descartes 2006-03-09 'Join the award winning comedian Mark Steel as he charts Descartescourse through scientific history; his stint as a card shark in theDutch army, his invention of the little 2, the symbol used tosignify a squared number, his invention of the x and y used inalgebra. Not to mention his numerous biological experiments thatgave us first clear idea that the senses were linked to the centralnervous system and his seminal work, ‘The Meditations’ in which heconstructed a theory of the universe which instead of beginningwith blind faith, insisted on the prominence of doubt as a startingpoint.Not bad for a bloke with a rubbish catchphrase. 2006-01-01 3 3
1405|The Forecast Manufacturer||The city is hit with a mysterious blizzard that launches Team Venture into action; the Monarch and 21 are sent on a deadly mission to a secret island fortress.|9|7||||2018-09-30||2018-01-01||||2018-01-01 9 The city is hit with a mysterious blizzard that launches Team Venture into action; the Monarch and 21 are sent on a deadly mission to a secret island fortress. 7 The Forecast Manufacturer 2018-09-30
1406||Lyndon Brook|||||||||||||Lyndon Brook 2 Acting
1407|Episode 34|||34|1||||2003-03-06||2003-01-01||||1 34 Episode 34 2003-01-01 2003-03-06
1408||Heinz Engelmann|||||||||||||2 Heinz Engelmann
1409||Gary Dourdan|||||||||||||Gary Dourdan 2
1410||Mario Camus|||||||||||||2 Directing Mario Camus
1411|Episode 5||Having discovered the remains of several bodies, Gill and Dodson’s teams need to try and identify them, and attempt to piece together the order in which they were murdered. Joe Bevan remains tight lipped though. After the remains of a teenage girl are found in an upstairs room, Helen is faced with the possibility that her dad killed both her brother and her sister.|5|3||||2013-05-01||2013-01-01||||Episode 5 2013-01-01 2013-05-01 5 Having discovered the remains of several bodies, Gill and Dodson’s teams need to try and identify them, and attempt to piece together the order in which they were murdered. Joe Bevan remains tight lipped though. After the remains of a teenage girl are found in an upstairs room, Helen is faced with the possibility that her dad killed both her brother and her sister. 3
1412|Dirty Conversation||Mike Rowe takes a look at never-before-seen footage featuring unusual, skewed and quirky conversations Mike has had with a colorful array of characters.|21|6||||2010-12-21||2010-01-01||||2010-01-01 21 2010-12-21 6 Dirty Conversation Mike Rowe takes a look at never-before-seen footage featuring unusual, skewed and quirky conversations Mike has had with a colorful array of characters.
1413||TVC|||||||||||||productionCompany TVC
1414||Zhang Ruoyun|||||||||||||Zhang Ruoyun 2
1415||Babben Larsson|||||||||||||1 Babben Larsson
1416|Lines of Fire||Emmet Carey is holding his two children hostage in the apartment of his wife's sister. He sees MGee on television and decides that he will talk only to him and occasionally Gharty who is also on the scene. The wife also shows up on the scene and gets past the security. Her screaming sets of Emmet, who fires two shots out that window that strike his wife dead. MGee has to keep the information from him as they continue to negotiate. The crisis ends when Emmet releases his stepdaughter, but makes a deadly choice for himself and his son.|20|7||||1999-05-07||1999-01-01||||Lines of Fire 1999-05-07 7 20 Emmet Carey is holding his two children hostage in the apartment of his wife's sister. He sees MGee on television and decides that he will talk only to him and occasionally Gharty who is also on the scene. The wife also shows up on the scene and gets past the security. Her screaming sets of Emmet, who fires two shots out that window that strike his wife dead. MGee has to keep the information from him as they continue to negotiate. The crisis ends when Emmet releases his stepdaughter, but makes a deadly choice for himself and his son. 1999-01-01
1417|Flying Memory||Kana Koumoto - a cheerful 17 year old who can often be a klutz and nosey. One day, while hanging out with her besties (Pets, Mossan and Hijiri), Mossan starts making a rocket using empty soda bottles.|1|3||||2018-04-01||2018-01-01||||2018-01-01 Kana Koumoto - a cheerful 17 year old who can often be a klutz and nosey. One day, while hanging out with her besties (Pets, Mossan and Hijiri), Mossan starts making a rocket using empty soda bottles. 1 Flying Memory 2018-04-01 3
1418|One Beautiful Moment|||2|7||||1959-09-27||1959-01-01||||1959-09-27 2 One Beautiful Moment 7 1959-01-01
1419||Michael Jones|||||||||||||Michael Jones 2
1420|Episode 7|||7|1||||2016-12-11||2016-01-01||||1 7 2016-01-01 Episode 7 2016-12-11
1421|Der Fluch|||3|1||||2012-09-25||2012-01-01||||Der Fluch 2012-01-01 2012-09-25 1 3
1422||Kristina Romanova|||||||||||||Kristina Romanova 0
1423||ZDF||||||||||||DE|ZDF productionCompany DE
1424|The Raft||One of Adam's girlfriends, is a passenger on a boat that has struck a mine.|8|1||||1959-11-30||1959-01-01||||One of Adam's girlfriends, is a passenger on a boat that has struck a mine. 1 8 1959-11-30 The Raft 1959-01-01
1425|How to Kidnap Someone Who Knows He'll Be Kidnapped!||Director Na Young Seok and the whole staff plan to kidnap WINNER despite the group already knowing the program. Step by step the staffs ask help from managers and even try some tricks, but the members are way too cautious of every detail. Later creating a fake commercial shooting set staffs hope WINNER will fall for this one, this time.|1|5||||2017-11-07||2017-01-01||||2017-11-07 1 Director Na Young Seok and the whole staff plan to kidnap WINNER despite the group already knowing the program. Step by step the staffs ask help from managers and even try some tricks, but the members are way too cautious of every detail. Later creating a fake commercial shooting set staffs hope WINNER will fall for this one, this time. How to Kidnap Someone Who Knows He'll Be Kidnapped! 5 2017-01-01
1426||Roberto Blanco|||||||||||||Roberto Blanco 0
1427||DFF 1||||||||||||XG|network DFF 1 XG
1428||P. Gowthan Raju|||||||||||||P. Gowthan Raju 2
1429||Suleyman Alasgarov|||||||||||||2 Suleyman Alasgarov
1430||Gerard Butler|||||||||||||Gerard Butler 2
1431|The Girls Who Knew Too Much||Sallie-Anne Huckstepp and Juanita Nielsen were iconic figures in the shadowy King’s Cross scene of the 1970s and 1980s. They lived dangerous lives – challenging the status quo of the period and met with mysterious and violent deaths. Neither murder has been solved officially, but many decades later, the intrigue of both cases still scratches at the heart and psyche of the Harbour City.  Can a credible witness with new information, may finally help solve one of Australia’s most enduring mysteries.|1|3||||2009-02-27||2009-01-01||||Sallie-Anne Huckstepp and Juanita Nielsen were iconic figures in the shadowy King’s Cross scene of the 1970s and 1980s. They lived dangerous lives – challenging the status quo of the period and met with mysterious and violent deaths. Neither murder has been solved officially, but many decades later, the intrigue of both cases still scratches at the heart and psyche of the Harbour City.  Can a credible witness with new information, may finally help solve one of Australia’s most enduring mysteries. 1 2009-02-27 2009-01-01 The Girls Who Knew Too Much 3
1432|Hide and Seek||During a game of hide and seek, Monty wonders whether there is a way to hide other than in or behind something.|48|1||||2017-07-05||2017-01-01||||1 During a game of hide and seek, Monty wonders whether there is a way to hide other than in or behind something. Hide and Seek 2017-07-05 2017-01-01 48
1433||Kan 11||||||||||||IL|network Kan 11 IL
1434||Chris Craine|||||||||||||Chris Craine 0
1435||Ensieh Maleki|||||||||||||Ensieh Maleki 0
1436||Syndication|||||||||||||network Syndication
1437||Brad Goertz|||||||||||||Brad Goertz 0
1438|Camel Rancher||Mike works at the country's only Dromedary camel dairy.|14|5||||2009-10-27||2009-01-01||||Camel Rancher 2009-10-27 5 2009-01-01 Mike works at the country's only Dromedary camel dairy. 14
1439||Richard E. Grant|||||||||||||2 Richard E. Grant
1440|Second Rate Citizen|||26|5||||1958-04-27||1958-01-01||||1958-04-27 Second Rate Citizen 5 26 1958-01-01
1441|All Against One||At the police headquarters, two officers bring in a new prisoner and everyone at the jailhouse is curious. The prisoner turn out to be Faceless and the two officers were Spade and Diamond. Their plan is to break out only a select bunch of prisoners that Ace put behind the bars and get them to work with Black Jack to put an end on Ace Cooper. Sonny Boy and his gang are invited to join the crime alliance since they all agree Ace must be killed. The next day, Ace puts on his show but gets ambushed by three villians: Yago, the fire magician; Dr. Blaun, a mad scientist; and Count Hebon. Faceless joins in wounded Ace's right arm. Cosmo calls for Vega and the police but Mr. Glam sends his robot to block the police. Ace manages to slip away on him Magic Bike but then gets shot by Sonny Boy's team. This could the end of Ace Cooper...|23|1||||1999-07-30||1999-01-01||||1 23 1999-07-30 At the police headquarters, two officers bring in a new prisoner and everyone at the jailhouse is curious. The prisoner turn out to be Faceless and the two officers were Spade and Diamond. Their plan is to break out only a select bunch of prisoners that Ace put behind the bars and get them to work with Black Jack to put an end on Ace Cooper. Sonny Boy and his gang are invited to join the crime alliance since they all agree Ace must be killed. The next day, Ace puts on his show but gets ambushed by three villians: Yago, the fire magician; Dr. Blaun, a mad scientist; and Count Hebon. Faceless joins in wounded Ace's right arm. Cosmo calls for Vega and the police but Mr. Glam sends his robot to block the police. Ace manages to slip away on him Magic Bike but then gets shot by Sonny Boy's team. This could the end of Ace Cooper... 1999-01-01 All Against One
1442||Taborah Johnson|||||||||||||Taborah Johnson 0
1443||Bernard Cornwell|||||||||||||2 Writing Bernard Cornwell
1444|The Works, in Wax||Craig discovers, in the visit of the wax figures cabinet, the horror in the fright chamber becomes true, if one goes into the pictures. So not only it is in danger, but rather also the monsters. As  Mr. deceitful, Boswick the museum buy and dismantle he wants, and help Craig and the monsters. They banish the businessman as a wax figure into the fright chamber.|5|1||||1993-10-16||1993-01-01||||1993-10-16 1 1993-01-01 5 Craig discovers, in the visit of the wax figures cabinet, the horror in the fright chamber becomes true, if one goes into the pictures. So not only it is in danger, but rather also the monsters. As  Mr. deceitful, Boswick the museum buy and dismantle he wants, and help Craig and the monsters. They banish the businessman as a wax figure into the fright chamber. The Works, in Wax
1445|The Man on Top|||30|4||||1957-04-28||1957-01-01||||1957-01-01 1957-04-28 30 The Man on Top 4
1446||Annette Hanshaw|||||||||||||Annette Hanshaw 0
1447||Ingrid Heitmann|||||||||||||Ingrid Heitmann 0
1448|Trick or Treat||'When Larry and Cheryl attend the premiere of a movie written by a handicapped friend, Cliff Cobb, Larry offends a Jewish neighbor, alienates Cliff (as well as the memory of his salad-inventing grandfather) and sends misguided romantic overtures to Cliff's wife, Shelly. Later, the Davids experience the ''''trick'''' side of Halloween when Larry refuses to give candy to two uncostumed teenagers. Having failed to get a bracelet for his wife on her birthday, Larry makes amends with the perfect gift on a romantic morning, but then Jeff arrives to play a round of golf. In the end, Larry gets revenge on a jewish neighbor and his teenage daughters, by arriving at his home with the orchestra that he used for Cheryl's birthday, as they played the tune that offended this neighbor.|3|2||||2001-10-07||2001-01-01||||2 Trick or Treat 2001-10-07 2001-01-01 'When Larry and Cheryl attend the premiere of a movie written by a handicapped friend, Cliff Cobb, Larry offends a Jewish neighbor, alienates Cliff (as well as the memory of his salad-inventing grandfather) and sends misguided romantic overtures to Cliff's wife, Shelly. Later, the Davids experience the ''''trick'''' side of Halloween when Larry refuses to give candy to two uncostumed teenagers. Having failed to get a bracelet for his wife on her birthday, Larry makes amends with the perfect gift on a romantic morning, but then Jeff arrives to play a round of golf. In the end, Larry gets revenge on a jewish neighbor and his teenage daughters, by arriving at his home with the orchestra that he used for Cheryl's birthday, as they played the tune that offended this neighbor. 3
1449||Yvon Chouinard|||||||||||||Yvon Chouinard 2 Acting
1450|Thomas Paine||'Surely Britain’s greatest unknown international revolutionary,best-selling author and hobbyist bridge builder, Norfolk borncorset-maker’s son Thomas Paine wrote the Rights of Man and helpedinspire the American War of Independence. Thereafter he became theSecretary for Foreign Affairs in a government that hated his countryof birth. He then went to France and escaped the guillotine byaccident, after having failed to sell a bridge he built over a fieldin London.One of Mark Steel’s great unsung radical heroes, this comedy lectureseries shines a light on a little known (in Britain) hero on twocontinents.|4|2||||2004-11-26||2004-01-01||||2 2004-11-26 2004-01-01 'Surely Britain’s greatest unknown international revolutionary,best-selling author and hobbyist bridge builder, Norfolk borncorset-maker’s son Thomas Paine wrote the Rights of Man and helpedinspire the American War of Independence. Thereafter he became theSecretary for Foreign Affairs in a government that hated his countryof birth. He then went to France and escaped the guillotine byaccident, after having failed to sell a bridge he built over a fieldin London.One of Mark Steel’s great unsung radical heroes, this comedy lectureseries shines a light on a little known (in Britain) hero on twocontinents. Thomas Paine 4
1451||Channel 4||||||||||||GB|network Channel 4 GB
1452|Episode 29|||29|1||||2003-02-25||2003-01-01||||2003-02-25 1 29 Episode 29 2003-01-01
1453||Jaxon Woods|||||||||||||Jaxon Woods 0
1454||Tom Gries|||||||||||||Tom Gries Directing
1455||Jan Pivec|||||||||||||Jan Pivec 2
1456||Patrick Laplace|||||||||||||Patrick Laplace 0
1457||Sallie Beechinor|||||||||||||Sallie Beechinor 0
1458|Secret of the Trash House: The Pupil in the Wall (3)|||8|1||||2017-02-12||2017-01-01||||1 8 Secret of the Trash House: The Pupil in the Wall (3) 2017-02-12 2017-01-01
1459|Episode 3|||3|1||||1994-01-31||1994-01-01||||1 1994-01-31 1994-01-01 Episode 3 3
1460||Kristen Fick|||||||||||||1 Kristen Fick
1461||Helmut Weiss|||||||||||||Helmut Weiss Directing 0
1462|The Documentary||'On New Year's Eve, the detectives sit back in the quiet of the evening and watch a documentary that Brodie has made about them and their work. In this documentary, entitled ''''BACK PAGE NEWS: Life and Homicide On The Mean Streets Of Baltimore'''', one of Frank and Tim's cases is covered where some ''''lies and hidden truths'''' are revealed. During a sequence about one of Mike and Meldrick's cases, they chase a suspect right into the filming of something called ''''Homicide'''' by director Barry Levinson and his crew. Mike and Julianna agree to try a date. Also, the identity of the ''''lunch bandit'''' is revealed to be Gaffney. Brodie reveals that the documentary has been sent to PBS and gives his reasons why. As the new year rolls in, things return to normal as the phones start ringing.|11|5||||1997-01-03||1997-01-01||||The Documentary 1997-01-01 11 1997-01-03 5 'On New Year's Eve, the detectives sit back in the quiet of the evening and watch a documentary that Brodie has made about them and their work. In this documentary, entitled ''''BACK PAGE NEWS: Life and Homicide On The Mean Streets Of Baltimore'''', one of Frank and Tim's cases is covered where some ''''lies and hidden truths'''' are revealed. During a sequence about one of Mike and Meldrick's cases, they chase a suspect right into the filming of something called ''''Homicide'''' by director Barry Levinson and his crew. Mike and Julianna agree to try a date. Also, the identity of the ''''lunch bandit'''' is revealed to be Gaffney. Brodie reveals that the documentary has been sent to PBS and gives his reasons why. As the new year rolls in, things return to normal as the phones start ringing.
1463||David Garvey|||||||||||||David Garvey 0
1464|The Madam|||18|1||||1974-04-12||1974-01-01||||1 18 1974-04-12 1974-01-01 The Madam
1465||Rodney J. McFall|||||||||||||Rodney J. McFall 0
1466|All Booked Up||Book-hater Greg is forced by a mysterious librarian to endlessly relive a bunch of classic stories.|9|3||||1999-11-04||1999-01-01||||9 All Booked Up 1999-11-04 1999-01-01 Book-hater Greg is forced by a mysterious librarian to endlessly relive a bunch of classic stories. 3
1467||PRMD Music and Universal Island|||||||||||||productionCompany PRMD Music and Universal Island
1468|Matching Socks||When Monty can't find a pair of matching socks, he wonders why things should match at all.|11|1||||2016-07-04||2016-01-01||||1 2016-07-04 11 Matching Socks When Monty can't find a pair of matching socks, he wonders why things should match at all. 2016-01-01
1469|Cranberry Farmer||'Mike Rowe gets dirty making handmade bricks in South Carolina.He then masters the art of cranberry farming in Oregon.|5|4||||2008-02-05||2008-01-01||||Cranberry Farmer 'Mike Rowe gets dirty making handmade bricks in South Carolina.He then masters the art of cranberry farming in Oregon. 2008-02-05 5 2008-01-01 4
1470||Patrick Loubert|||||||||||||2 Production Patrick Loubert
1471||Anil Choudhury|||||||||||||Anil Choudhury 0
1472||Beppe Cino|||||||||||||Beppe Cino 2 Directing
1473||Julie Martin|||||||||||||Julie Martin 0
1474||Petar Popyordanov|||||||||||||Petar Popyordanov 0
1475|Safari at Sea|||6|1||||1959-11-16||1959-01-01||||1 1959-11-16 6 Safari at Sea 1959-01-01
1476||Savitri|||||||||||||Savitri 1
1477||Zemfira Sadigova|||||||||||||1 Zemfira Sadigova
1478|The Revenge Society||'The Guild of Calamitous Intent comes under attack by an insane Phantom Limb, who now goes by the name ''Revenge''. Meanwhile, Hank and Sergeant Hatred must protect the compound from the Guild's agents. We also learn something very interesting about Dean's birthright.|5|4||||2009-11-15||2009-01-01||||2009-11-15 2009-01-01 5 'The Guild of Calamitous Intent comes under attack by an insane Phantom Limb, who now goes by the name ''Revenge''. Meanwhile, Hank and Sergeant Hatred must protect the compound from the Guild's agents. We also learn something very interesting about Dean's birthright. The Revenge Society 4
1479||Mandala Pictures||||||||||||SK|SK productionCompany Mandala Pictures
1480||RTVS||||||||||||SK|SK productionCompany RTVS
1481||Chiaki Nakajima|||||||||||||Chiaki Nakajima 0
1482||Nicholas Colasanto|||||||||||||2 Nicholas Colasanto Acting
1483||Reina Asami|||||||||||||Reina Asami 0
1484||Ishiro Yoshimura|||||||||||||Ishiro Yoshimura 0
1485||Rachel Tyler|||||||||||||Rachel Tyler 0
